LN_type,ORN_type,input_preference,n_ln_body_ids,source_LN_types,point_label,glomerulus,x_order,LN_type_mean_input_preference
lLN2F_a,ORN_DC4,0.39159982174688057,2,lLN2F_a,ORN_DC4,DC4,4,0.4325070822012987
lLN2F_a,ORN_DL1,0.36470926885434657,2,lLN2F_a,ORN_DL1,DL1,4,0.4325070822012987
lLN2F_a,ORN_DL2d,0.3424890876184392,2,lLN2F_a,ORN_DL2d,DL2d,4,0.4325070822012987
lLN2F_a,ORN_DL2v,0.48281964948631617,2,lLN2F_a,ORN_DL2v,DL2v,4,0.4325070822012987
lLN2F_a,ORN_DL3,0.24292682926829268,2,lLN2F_a,ORN_DL3,DL3,4,0.4325070822012987
lLN2F_a,ORN_DL4,0.35757575757575755,2,lLN2F_a,ORN_DL4,DL4,4,0.4325070822012987
lLN2F_a,ORN_DL5,0.5679088243639459,2,lLN2F_a,ORN_DL5,DL5,4,0.4325070822012987
lLN2F_a,ORN_DM1,0.3712272274086831,2,lLN2F_a,ORN_DM1,DM1,4,0.4325070822012987
lLN2F_a,ORN_DM2,0.5136415308829102,2,lLN2F_a,ORN_DM2,DM2,4,0.4325070822012987
lLN2F_a,ORN_DM3,0.4132857142857143,2,lLN2F_a,ORN_DM3,DM3,4,0.4325070822012987
lLN2F_a,ORN_DM4,0.25462962962962965,2,lLN2F_a,ORN_DM4,DM4,4,0.4325070822012987
lLN2F_a,ORN_DM6,0.4511689603714144,2,lLN2F_a,ORN_DM6,DM6,4,0.4325070822012987
lLN2F_a,ORN_DP1l,0.47339181286549703,2,lLN2F_a,ORN_DP1l,DP1l,4,0.4325070822012987
lLN2F_a,ORN_DP1m,0.48869568347913744,2,lLN2F_a,ORN_DP1m,DP1m,4,0.4325070822012987
lLN2F_a,ORN_VA3,0.44705882352941173,2,lLN2F_a,ORN_VA3,VA3,4,0.4325070822012987
lLN2F_a,ORN_VC1,0.7656597588104437,2,lLN2F_a,ORN_VC1,VC1,4,0.4325070822012987
lLN2F_a,ORN_VC3l,0.1541501976284585,2,lLN2F_a,ORN_VC3l,VC3l,4,0.4325070822012987
lLN2F_a,ORN_VL2a,0.6673766594016247,2,lLN2F_a,ORN_VL2a,VL2a,4,0.4325070822012987
lLN2F_a,ORN_VL2p,0.22716627634660422,2,lLN2F_a,ORN_VL2p,VL2p,4,0.4325070822012987
lLN2F_a,ORN_VM7v,0.5333333333333333,2,lLN2F_a,ORN_VM7v,VM7v,4,0.4325070822012987
lLN2T_a,ORN_DA1,0.5581340871663453,6,lLN2T_a,ORN_DA1,DA1,5,0.3778182743523148
lLN2T_a,ORN_DC1,0.3337877602681177,8,lLN2T_a,ORN_DC1,DC1,5,0.3778182743523148
lLN2T_a,ORN_DC2,0.5879953054183845,7,lLN2T_a,ORN_DC2,DC2,5,0.3778182743523148
lLN2T_a,ORN_DC4,0.433365421698755,8,lLN2T_a,ORN_DC4,DC4,5,0.3778182743523148
lLN2T_a,ORN_DL1,0.5386650824435621,8,lLN2T_a,ORN_DL1,DL1,5,0.3778182743523148
lLN2T_a,ORN_DL2d,0.34703112014036386,7,lLN2T_a,ORN_DL2d,DL2d,5,0.3778182743523148
lLN2T_a,ORN_DL2v,0.4251515925009931,8,lLN2T_a,ORN_DL2v,DL2v,5,0.3778182743523148
lLN2T_a,ORN_DL3,-0.2441520467836257,3,lLN2T_a,ORN_DL3,DL3,5,0.3778182743523148
lLN2T_a,ORN_DL4,0.4597126538303009,6,lLN2T_a,ORN_DL4,DL4,5,0.3778182743523148
lLN2T_a,ORN_DL5,0.7663342830009496,8,lLN2T_a,ORN_DL5,DL5,5,0.3778182743523148
lLN2T_a,ORN_DM1,0.3896289767916451,8,lLN2T_a,ORN_DM1,DM1,5,0.3778182743523148
lLN2T_a,ORN_DM2,0.5165429362330091,7,lLN2T_a,ORN_DM2,DM2,5,0.3778182743523148
lLN2T_a,ORN_DM3,0.43625094482237337,7,lLN2T_a,ORN_DM3,DM3,5,0.3778182743523148
lLN2T_a,ORN_DM4,0.17457362513332664,8,lLN2T_a,ORN_DM4,DM4,5,0.3778182743523148
lLN2T_a,ORN_DM6,0.4343689196274298,7,lLN2T_a,ORN_DM6,DM6,5,0.3778182743523148
