combined_LN_type,glomerulus,broad_LN_group,n_ln_body_ids,orn_input_total,pn_output_weight_total,mean_pn_output_percent,sum_pn_output_percent,contra_orn_preference_weighted,same_glomerulus_convergence_score,type_order,glomerulus_order
lLN2T,DC1,lLN2T,14,1578.0,736.0,0.9841029207708931,13.777440890792503,0.12801013941698353,0.052553578206177766,4,13
lLN2T,DL4,lLN2T,9,746.0,168.0,0.34456705181976993,3.1011034663779293,0.2064343163538874,0.014323961199493558,4,14
lLN2T,DC4,lLN2T,14,1273.0,232.0,0.342522711847229,4.795317965861206,0.3401413982717989,0.06180362391625341,4,15
lLN2T,DA1,lLN2T,13,2495.0,871.0,1.233469447727241,16.03510282045413,0.3779559118236473,0.22778987941281317,4,16
lLN2T,VC3,lLN2T,7,371.0,312.0,0.7504702494876888,5.253291746413821,0.1105121293800539,-0.00202243643382544,4,18
lLN2T,DP1l,lLN2T,12,1416.0,780.0,1.2808100560817652,15.369720672981183,0.3290960451977401,0.16819507583717874,4,19
lLN2T,DL3,lLN2T,6,537.0,124.0,0.3620649931967297,2.172389959180378,0.17318435754189945,0.007268759773576522,4,20
lLN2T,DL2v,lLN2T,7,839.0,327.0,0.8600911624038355,6.0206381368268485,0.3396901072705602,0.10022998529296351,4,21
lLN2T,DL2d,lLN2T,8,523.0,258.0,0.6073150091232602,4.858520072986082,0.3422562141491396,0.07912525755994732,4,22
lLN2R,DP1m,lLN2R,3,259.0,108.0,1.4462212139640565,4.338663641892169,0.6602316602316602,0.10429593449620715,5,0
lLN2R,DC2,lLN2R,1,28.0,25.0,1.1389521640091116,1.1389521640091116,0.2857142857142857,0.010602331721514749,5,1
lLN2R,VL2a,lLN2R,4,218.0,116.0,1.4835189461250908,5.934075784500363,0.44954128440366975,0.04884134755791411,5,2
lLN2R,DL1,lLN2R,2,96.0,59.0,1.2594380620100756,2.518876124020151,0.4791666666666667,0.027869344442819896,5,3
lLN2R,VC1,lLN2R,1,30.0,29.0,1.3211845102505695,1.3211845102505695,0.4,0.01797443718782734,5,4
lLN2R,DL5,lLN2R,2,180.0,51.0,1.0208553880881668,2.0417107761763336,0.7666666666666667,0.04829940140866515,5,5
lLN2R,VL2p,lLN2R,3,497.0,149.0,2.0193151879734095,6.057945563920228,0.3158953722334004,0.0732665197796488,5,10
lLN2R,DA1,lLN2R,2,153.0,120.0,3.960190182079467,7.920380364158934,0.1895424836601307,0.029571881598561715,5,16
lLN2R,DP1l,lLN2R,3,545.0,108.0,1.4534039270867491,4.360211781260247,0.5192660550458715,0.08290715874236741,5,19
lLN2R,DL2v,lLN2R,2,88.0,43.0,0.8209873386730632,1.6419746773461263,0.6136363636363636,0.034493037737483676,5,21
lLN2R,DL2d,lLN2R,2,160.0,67.0,1.3284476199773456,2.6568952399546912,0.6625,0.06326632287500505,5,22
v2LN30,VL2a,v2LN3,1,118.0,89.0,1.432941555305104,1.432941555305104,0.13559322033898305,0.00874300239671864,6,2
v2LN30,VC1,v2LN3,1,80.0,133.0,2.1413620995008853,2.1413620995008853,0.875,0.09177042452411645,6,4
v2LN30,DM6,v2LN3,1,87.0,137.0,2.2057639671550477,2.2057639671550477,0.4942528735632184,0.0537171748663589,6,7
