bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,group,anatomy.group,class,cellBodyFiber,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,notes,ALR_n_inputs,ALR_n_ipsi_inputs,ALR_n_contra_inputs,ALL_n_inputs,ALL_n_ipsi_inputs,ALL_n_contra_inputs
5813039309,1229,5101,5101,4819,Traced,lLN2P_b(Patchy)_R,1794434140,True,right,lLN2P_b,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.409,2,2441,2376,2394,2698,8565.45032395287,2898.03740733898,3102.62189808376,74.0495527462652,0.0009667062414605,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),1019,572,447,0,0,0
1762704980,1100,6282,6282,4981,Traced,lLN2P_c(Patchy)_R,2157187860,True,right,lLN2P_c,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.747,3,3685,1295,4380,1890,9405.20330686338,5317.5573300825,1947.02052964915,36.4972431533767,0.0015231887185475,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),674,372,302,0,0,0
5813132949,1084,6618,6618,4806,Traced,lLN2P_c(Patchy)_R,2141212267,True,right,lLN2P_c,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.71,3,1473,3323,1828,4780,9458.80141063333,2212.26546917127,5087.48819716623,41.5553856297465,0.0008073161206157,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),711,315,396,0,0,0
1639886198,1054,6137,6137,4701,Traced,lLN2P_c(Patchy)_R,2062058673,True,right,lLN2P_c,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.699,3,1860,2847,2350,3776,8964.58824502159,2694.0076621662,4272.51959552026,32.739559106988,0.0001006403628964,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),648,327,321,0,0,0
1858171556,867,5364,5364,4015,Traced,lLN2P_c(Patchy)_R,1734311002,True,right,lLN2P_c,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.653,3,1787,2228,2362,2985,8055.27569105893,2715.92620776799,3359.17226088056,56.203352610521,8.09540625634764e-06,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),618,294,324,0,0,0
1640555311,901,5392,5392,4082,Traced,lLN2P_c(Patchy)_R,1894739225,True,right,lLN2P_c,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.774,3,2062,2023,2673,2709,8195.00285375352,3084.7716872969,3169.78979838605,42.4812848358838,4.7289270011408e-05,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),293,144,149,0,0,0
1701947337,1930,8412,8412,7598,Traced,lLN2P_b(Patchy)_R,2369126700,True,right,lLN2P_b,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.36,2,1837,5644,1860,6490,11565.658769055,2037.73159090397,6047.17288025992,212.658463712665,0.0005228584016735,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),2119,1232,887,0,0,0
2135408892,1036,8095,8095,5786,Traced,lLN2P_a(Patchy)_R,2027355815,True,right,lLN2P_a,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.528,2,2390,3396,3225,4867,10370.0710479455,3335.07160485854,4663.51107433886,25.5326851248766,0.0001566028501994,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),1044,371,673,0,0,0
1670916819,922,6889,6889,5869,Traced,lLN2P_a(Patchy)_R,1763058182,True,right,lLN2P_a,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.553,2,4155,1717,4731,2139,8881.90953203414,4543.01034922456,2014.79637576914,67.4720547741269,0.0003066230274305,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),799,380,419,0,0,0
2041621893,978,7516,7516,5880,Traced,lLN2P_a(Patchy)_R,1828383250,True,right,lLN2P_a,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.354,2,2021,3859,2486,5010,9141.94459786077,2666.1775065807,4013.57830756578,117.38609762056,0.000116919157111,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),1915,805,1110,0,0,0
