root_id,analysis_body_ids,analysis_instances,analysis_hemispheres,analysis_neuropils,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,user_tags,flow,super_class,cell_class,cell_sub_class,morphology_group,side,top_nt,top_nt_conf,known_nt,known_nt_source
720575940621607093,,,,,CB1048,CB1048,CB1048,,,AL local neuron;ALLN;ALv2;CB1048;glutamate;right,CB1048,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__0,left,glutamate,0.4848226804021873,,
720575940623280311,7205759406232803111,CB1048_L,L,AL_L,CB1048,CB1048,CB1048,,,AL local neuron;ALLN;ALv2;CB1048;right,CB1048,,"AL local neuron,ALLN;ALv2; right",intrinsic,central,ALLN,,ALv2__0,left,glutamate,0.5490415421820043,,
720575940627677514,,,,,CB1048,CB1048,CB1048,,,AL local neuron;ALLN;ALv1;CB1048;glutamate;left,CB1048,,"AL local neuron,ALLN;ALv1; left; glutamate",intrinsic,central,ALLN,,ALv2__0,right,glutamate,0.6348521411025649,,
720575940609112587,7205759406091125871;7205759406091125872,CB1132_L;CB1132_R,L;R,AL_L;AL_R,CB1132,CB1132,CB1132,,,AL local neuron;ALLN;CB1132,CB1132,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.447566212444359,,
720575940621343838,7205759406213438382,CB1132_R,R,AL_R,CB1132,CB1132,CB1132,,,AL local neuron;ALLN;CB1132,CB1132,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.5166212030361972,,
720575940622961802,7205759406229618021,CB1132_L,L,AL_L,CB1132,CB1132,CB1132,,,AL local neuron;ALLN;CB1132,CB1132,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5503556103124586,,
720575940644255255,7205759406442552551,CB1132_L,L,AL_L,CB1132,CB1132,CB1132,,,AL local neuron;ALLN;CB1132,CB1132,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5575787136313713,,
720575940623248883,7205759406232488831,CB1141_L,L,AL_L,CB1141,CB1141,CB1141,,,AL local neuron;ALLN;CB1141,CB1141,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.6109611560129976,,
720575940623930211,7205759406239302111,CB1141_L,L,AL_L,CB1141,CB1141,CB1141,,,AL local neuron;ALLN;CB1141,CB1141,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5730883451857431,,
720575940632803212,7205759406328032122,CB1141_R,R,AL_R,CB1141,CB1141,CB1141,,,AL local neuron;ALLN;CB1141,CB1141,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.51137749767142,,
720575940637510121,7205759406375101211,CB1141_L,L,AL_L,CB1141,CB1141,CB1141,,,AL local neuron;ALLN;CB1141,CB1141,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.428902650673083,,
720575940659844225,7205759406598442251,CB1141_L,L,AL_L,CB1141,CB1141,CB1141,,,AL local neuron;ALLN;CB1141,CB1141,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.6757841465556393,,
720575940623901695,7205759406239016951,CB1266_L,L,AL_L,CB1266,CB1266,CB1266,,,AL local neuron;ALLN;ALv1;CB1266;right,CB1266,,"AL local neuron,ALLN;ALv1; right",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.3659432660124564,,
