body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,analysis_body_id,source_root_id,analysis_hemisphere,primary_flywire_name,comparison_name,recommended_match_group,comparison_LN_class,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,top_nt,top_nt_conf,known_nt,known_nt_source
7205759406224574432,lLN2X06_R,lLN2X06,lLN2X06,other lLN,417.0,50.0,367.0,0.7601918465227818,0.8597954975065669,497.0,5976.0,0.0831659973226238,8.316599732262384,2.2757697456492636,0.4158299866131191,0.8365706263042098,13,20,13,1.0,4.7212475405679015,39,True,7205759406224574432,720575940622457443,R,lLN2X06,lLN2X06,lLN2X06,lLN2X06,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X06;left,lLN2X06,,acetylcholine,0.4176766808753053,,
7205759406057581422,lLN2F_a_R,lLN2F_a,lLN2F,lLN2F,4707.0,827.0,3880.0,0.6486084554918207,0.6557130581843824,1404.0,19490.0,0.0720369420215495,7.20369420215495,0.7850179579271421,0.144073884043099,0.6611542655600011,48,50,48,1.0,4.700979552185518,40,True,7205759406057581422,720575940605758142,R,lLN2F_a,lLN2F_a,lLN2F,lLN2F,lLN2F_a,lLN2F,AL local neuron;ALLN;ALl1_dorsal;lLN2F_a;left,,lLN2F_a,gaba,0.3576820098500197,,
7205759406317047162,lLN1_bc_R,lLN1_bc,lLN1,lLN1,234.0,42.0,192.0,0.6410256410256411,0.4926109206574452,1490.0,8671.0,0.1718371583439049,17.183715834390497,1.5569138507669242,0.3506880782528673,0.5794718311888155,19,49,19,1.0,4.684104047926114,41,True,7205759406317047162,720575940631704716,R,lLN1_bc,lLN1_b,lLN1,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;left,lLN1_bc,"lLN1_b,lLN1_c",acetylcholine,0.2849678626842067,,
7205759406415927951,lLN2X06_L,lLN2X06,lLN2X06,other lLN,510.0,58.0,452.0,0.7725490196078432,0.8864894419306182,407.0,6185.0,0.0658043654001616,6.580436540016168,1.9240097008892485,0.3463387652640088,0.7919699089265771,10,19,10,1.0,4.643998562186744,42,True,7205759406415927951,720575940641592795,L,lLN2X06,lLN2X06,lLN2X06,lLN2X06,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X06;right,lLN2X06,,acetylcholine,0.3724291887455628,,
7205759406237880401,lLN2F_a_L,lLN2F_a,lLN2F,lLN2F,4570.0,816.0,3754.0,0.6428884026258206,0.6614507698495956,1316.0,20961.0,0.0627832641572444,6.2783264157244405,0.82057153761748,0.13358141310052,0.6474851716699355,48,47,45,1.0,4.617939207816577,43,True,7205759406237880401,720575940623788040,L,lLN2F_a,lLN2F_a,lLN2F,lLN2F,lLN2F_a,lLN2F,AL local neuron;ALLN;lLN2F_a,,lLN2F_a,gaba,0.3304829942305237,,
7205759406359459191,v2LN30_L,v2LN30,v2LN30,v2LN3,2113.0,537.0,1576.0,0.4917179365830573,0.3663806836596495,11523.0,34741.0,0.3316830258196367,33.16830258196367,3.5174577588440172,0.7057085655736952,0.4568949269199512,42,47,41,1.0,4.598638141484331,44,True,7205759406359459191,720575940635945919,L,v2LN30,v2LN30,v2LN30,v2LN30,v2LN30,v2LN30,AL local neuron;ALLN;ALv2;right;v2LN30,,v2LN30,glutamate,0.2811788041789135,,
7205759406408032002,lLN2F_a_R,lLN2F_a,lLN2F,lLN2F,4120.0,765.0,3355.0,0.6286407766990292,0.629327843545565,1415.0,22159.0,0.0638566722325014,6.385667223250147,1.0244144591362423,0.1330347338177114,0.6290459408654459,48,48,46,1.0,4.561160534057523,45,True,7205759406408032002,720575940640803200,R,lLN2F_a,lLN2F_a,lLN2F,lLN2F,lLN2F_a,lLN2F,AL local neuron;ALLN;lLN2F_a,,lLN2F_a,gaba,0.3538815485628913,,
7205759406161978192,lLN2X05_R,lLN2X05,lLN2X05,other lLN,575.0,104.0,471.0,0.6382608695652174,0.5483543604222115,1195.0,8402.0,0.1422280409426327,14.22280409426327,2.737443465841466,0.2963084186304848,0.6790368405920685,39,48,39,1.0,4.523187516461534,46,True,7205759406161978192,720575940616197819,R,lLN2X05,lLN2X05,lLN2X05,lLN2X05,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X05;left,lLN2X05,,serotonin,0.39727184065424,,
7205759406304073882,lLN2T_b_R,lLN2T_b,lLN2T,lLN2T,6430.0,1379.0,5051.0,0.5710730948678071,0.5382407180581062,2520.0,15993.0,0.1575689364096792,15.756893640967926,1.863315200400175,0.3501531920215094,0.5450759576676044,42,45,41,1.0,4.472879148465636,47,True,7205759406304073882,720575940630407388,R,lLN2T_b,lLN2T_b,lLN2T,lLN2T,lLN2T_b,lLN2T,AL local neuron;ALLN;lLN2T_b,,lLN2T_b,serotonin,0.3452087675311435,acetylcholine,"Shang et al., 2007"
7205759406161695781,lLN2T_b_L,lLN2T_b,lLN2T,lLN2T,6564.0,1396.0,5168.0,0.5746496039000609,0.5573421589095983,2400.0,16461.0,0.1457991616548204,14.579916165482048,2.0108134378227325,0.3169546992496098,0.5512019361742899,46,46,43,1.0,4.472865985518977,48,True,7205759406161695781,720575940616169578,L,lLN2T_b,lLN2T_b,lLN2T,lLN2T,lLN2T_b,lLN2T,AL local neuron;ALLN;ALl1_dorsal;lLN2T_b;right,,lLN2T_b,serotonin,0.3481103534493707,acetylcholine,"Shang et al., 2007"
