LN_class,hemibrain_body_observations,hemibrain_orn_input_total,hemibrain_pn_output_weight_total,hemibrain_mean_contra_preference,hemibrain_median_contra_preference,hemibrain_mean_body_score,flywire_body_observations,flywire_orn_input_total,flywire_pn_output_weight_total,flywire_mean_contra_preference,flywire_median_contra_preference,flywire_mean_body_score,flywire_raw_LN_types,flywire_instances,flywire_primary_flywire_names,flywire_recommended_match_groups,flywire_hemibrain_types,flywire_hemibrain_family_names,flywire_source_root_ids,presence
lLN2X09,0,,,,,,2,677.0,1696.0,0.2814126735951439,0.2814126735951439,1.8897109931711331,lLN2X09,lLN2X09_L;lLN2X09_R,lLN2X09,lLN2X09,,,2,flywire_only
lLN2X10,0,,,,,,4,2271.0,4231.0,0.7430571647291989,0.7578745710121761,5.168607092071468,lLN2X10,lLN2X10_L;lLN2X10_R,lLN2X10,lLN2X10,,,4,flywire_only
lLN2X11,0,,,,,,4,4042.0,7024.0,0.7107458134261603,0.7063765143746914,5.304266763885937,lLN2X11,lLN2X11_L;lLN2X11_R,lLN2X11,lLN2X11,,,4,flywire_only
lLN2X12,0,,,,,,13,10242.0,14404.0,0.7431167162888307,0.719626168224299,5.207083429625407,lLN2X12,lLN2X12_L;lLN2X12_R,lLN2X12,lLN2X12,,,13,flywire_only
lLN9,0,,,,,,6,214.0,968.0,-0.7341147435132398,-0.7735042735042735,0.0,lLN9,lLN9_L;lLN9_R,lLN9,lLN9,lLN9,lLN9,6,flywire_only
v2LN40_2,0,,,,,,4,711.0,482.0,-0.8785011368137654,-0.8921717651529546,0.0,v2LN40_2,v2LN40_2_L;v2LN40_2_R,v2LN40_2,v2LN40_2,,,4,flywire_only
v2LNX01,0,,,,,,1,37.0,282.0,-0.4594594594594595,-0.4594594594594595,0.0,v2LNX01,v2LNX01_L,v2LNX01,v2LNX01,,,1,flywire_only
vLN28;vLN29,0,,,,,,4,2009.0,844.0,-0.9155398197886135,-0.9372697758631454,0.0,vLN28_vLN29,vLN28_vLN29_L;vLN28_vLN29_R,"vLN28,vLN29",vLN28;vLN29,"vLN28,vLN29",vLN28;vLN29,4,flywire_only
l2LN18,1,1284.0,2046.0,0.454828660436137,0.454828660436137,3.4676731012665054,0,,,,,,,,,,,,0,hemibrain_only
lLN11,3,114.0,612.0,0.062426517995979834,0.0909090909090909,0.23698914529670634,0,,,,,,,,,,,,0,hemibrain_only
lLN12a,3,113.0,938.0,-0.02586512641232203,-0.1176470588235294,0.5323530309679122,0,,,,,,,,,,,,0,hemibrain_only
lLN12b,1,30.0,366.0,0.0666666666666666,0.0666666666666666,0.2362144739221828,0,,,,,,,,,,,,0,hemibrain_only
lLN14,2,64.0,155.0,-0.6468253968253967,-0.6468253968253967,0.0,0,,,,,,,,,,,,0,hemibrain_only
lLN16a,2,68.0,145.0,-0.8541666666666667,-0.8541666666666667,0.0,0,,,,,,,,,,,,0,hemibrain_only
lLN16b,4,139.0,415.0,0.5172443303380402,0.6157894736842104,1.5815539879881684,0,,,,,,,,,,,,0,hemibrain_only
lLN17,2,90.0,642.0,-0.3650793650793651,-0.3650793650793651,0.0,0,,,,,,,,,,,,0,hemibrain_only
lLN2R,5,2558.0,2693.0,0.3373191349086436,0.4256410256410256,2.3043635131845313,0,,,,,,,,,,,,0,hemibrain_only
lLN2S,6,5305.0,6631.0,0.582079669085152,0.5780009526833916,4.0683378077566,0,,,,,,,,,,,,0,hemibrain_only
lLN7,1,72.0,38.0,-0.3611111111111111,-0.3611111111111111,0.0,0,,,,,,,,,,,,0,hemibrain_only
v2LN35,3,302.0,352.0,0.3826734413447097,0.3684210526315789,1.5238275521389262,0,,,,,,,,,,,,0,hemibrain_only
v2LN37,1,422.0,362.0,-0.6682464454976303,-0.6682464454976303,0.0,0,,,,,,,,,,,,0,hemibrain_only
v2LN3b,3,774.0,670.0,-0.360290340056093,-0.4878048780487805,0.14291900484480624,0,,,,,,,,,,,,0,hemibrain_only
v2LN40,2,362.0,177.0,-0.9968652037617554,-0.9968652037617554,0.0,0,,,,,,,,,,,,0,hemibrain_only
v2LN45,1,35.0,15.0,-1.0,-1.0,0.0,0,,,,,,,,,,,,0,hemibrain_only
