glomerulus,n_observations_hemibrain,n_ln_types_hemibrain,orn_input_total_hemibrain,pn_output_weight_total_hemibrain,contra_orn_preference_weighted_hemibrain,same_glomerulus_convergence_score_hemibrain,n_observations_flywire,n_ln_types_flywire,orn_input_total_flywire,pn_output_weight_total_flywire,contra_orn_preference_weighted_flywire,same_glomerulus_convergence_score_flywire,orn_input_total_delta_flywire_minus_hemibrain,pn_output_weight_total_delta_flywire_minus_hemibrain,contra_orn_preference_weighted_delta_flywire_minus_hemibrain,same_glomerulus_convergence_score_delta_flywire_minus_hemibrain,same_preference_sign
VA3,89,27,346.0,2062.0,-0.03468208092485549,0.2598249898295548,203,38,3310.0,4382.0,0.5238670694864048,-0.12358251468131067,2964.0,2320.0,0.5585491504112603,-0.38340750451086547,False
DL5,90,25,3922.0,1647.0,0.592044875063743,0.7689085877711069,227,47,8299.0,4911.0,0.331003735389806,-0.13077929199499494,4377.0,3264.0,-0.26104113967393705,-0.8996878797661019,True
DA1,77,26,10351.0,4531.0,0.29552700222200756,-0.08899999435697102,176,39,8742.0,9123.0,0.46236559139784944,-0.17257766756910126,-1609.0,4592.0,0.16683858917584188,-0.08357767321213024,True
VA1d,82,28,230.0,2295.0,-1.0,-3.0265480640727684,170,32,2479.0,4168.0,0.5288422751109318,-0.2208963063503109,2249.0,1873.0,1.5288422751109318,2.8056517577224573,False
DL3,48,13,2648.0,1040.0,-0.03625377643504532,-0.28410229085269034,122,27,1913.0,2681.0,0.09984317825405123,-0.22975346075365555,-735.0,1641.0,0.13609695468909655,0.054348830099034795,False
VM5v,72,20,0.0,932.0,,0.0,195,38,3221.0,4707.0,0.3952188761254269,-0.23304409625155678,3221.0,3775.0,,-0.23304409625155678,False
DC4,108,30,5891.0,1171.0,0.31590561874045153,0.2301531563092511,256,50,8565.0,3511.0,0.30881494454173963,-0.3659703598335944,2674.0,2340.0,-0.007090674198711899,-0.5961235161428455,True
DM4,86,25,4513.0,1909.0,0.17793042322180366,0.14037442884553367,218,41,5978.0,6958.0,0.2656406825025092,-0.40051234541008107,1465.0,5049.0,0.08771025928070555,-0.5408867742556147,True
VM5d,71,17,0.0,1801.0,,0.0,218,39,5855.0,5784.0,0.4568744662681469,-0.43541169136759084,5855.0,3983.0,,-0.43541169136759084,False
VM7d,75,21,0.0,1401.0,,0.0,214,44,6331.0,5618.0,0.3027957668614753,-0.6522008438393343,6331.0,4217.0,,-0.6522008438393343,False
