id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,pre_cell_type,pre_hemibrain_type,pre_side,glomerulus,pre_cell_sub_class,target_group,target_cell_type,target_hemibrain_type,target_side
3674334,76562843469768633,720575940616397122,76562843469778854,720575940621359988,3674334,LH_L,,DP1m_vPN,left,DP1m,multiglomerular,PV5a1,,LHPV5a1,left
3674371,76562843469781541,720575940616397122,76562843469799337,720575940621359988,3674371,LH_L,,DP1m_vPN,left,DP1m,multiglomerular,PV5a1,,LHPV5a1,left
69527066,82896373976102708,720575940622726271,82896373976094908,720575940632462500,69527066,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
71262487,82896305256579914,720575940622726271,82896305256579847,720575940636488110,71262487,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
45154113,82615036438385816,720575940622726271,82615036438382086,720575940627631125,45154113,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
85529888,83037317623184885,720575940622726271,83037317623196399,720575940634792884,85529888,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
3694877,82755705274297860,720575940630097103,82755705274297829,720575940632462500,3694877,LH_R,,VC2_lPN,right,VC2,uniglomerular,PV5a1,,LHPV5a1,right
3694853,82755705274291707,720575940621141542,82755705274292970,720575940632462500,3694853,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
3694856,82755705274291707,720575940621141542,82755705274292970,720575940632462500,3694856,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
3694888,82755705274285170,720575940621141542,82755705274297829,720575940632462500,3694888,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
33214294,83037111397558980,720575940622726271,83037111397562683,720575940636488110,33214294,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
189029772,82544530255117970,720575940622726271,82544530255110886,720575940645673508,189029772,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB3009,LHPD2a1,right
32943019,82896580067600240,720575940622726271,82896580067611305,720575940620814913,32943019,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB3198,LHPD2b1,right
3698832,82755705274285170,720575940621141542,82755705274297829,720575940632462500,3698832,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
84100905,82896442695889411,720575940622726271,82896442695872270,720575940634792884,84100905,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
117777640,82896442628876498,720575940622726271,82896442628883656,720575940636488110,117777640,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
160114567,77337380692006444,720575940628200506,77337380692007762,720575940614928234,160114567,LH_L,,M_l2PNl21,left,mPN,multiglomerular,PD2a1_b1,CB3198,LHPD2b1,left
160101859,77407680716702982,720575940628200506,77407680716705410,720575940614928234,160101859,LH_L,,M_l2PNl21,left,mPN,multiglomerular,PD2a1_b1,CB3198,LHPD2b1,left
101718198,82474161511123733,720575940622726271,82474161511122531,720575940636488110,101718198,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
87441329,82755705207645316,720575940621141542,82755705207636444,720575940631978287,87441329,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
87441370,82755705207644028,720575940621141542,82755705207647662,720575940631978287,87441370,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
87441403,82755705207644028,720575940621141542,82755705207647662,720575940631978287,87441403,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
96254287,82825936445507229,720575940622726271,82825936445507278,720575940636488110,96254287,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
240202668,82544598974906341,720575940630217086,82544598974899567,720575940631978287,240202668,LH_R,,DL2d_adPN,right,DL2d,uniglomerular,PV5a1,,LHPV5a1,right
84859601,82966742720561228,720575940622726271,82966742720586668,720575940630991500,84859601,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB3205,LHPD2a1,right
137309485,76492818256303859,720575940628283560,76492818256304871,720575940632818221,137309485,LH_L,,VA1v_adPN,left,VA1v,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,left
95261451,82685473835012112,720575940622726271,82685473835014427,720575940620814913,95261451,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB3198,LHPD2b1,right
95915785,82825936445481935,720575940622726271,82825936445478565,720575940630149829,95915785,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2977,LHPD2a1,right
7879521,82544392816136198,720575940622726271,82544392816143330,720575940636488110,7879521,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
68750085,82544598974635631,720575940622726271,82544598974638060,720575940636488110,68750085,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
41947782,83107686367165664,720575940622726271,83107686367169284,720575940617540509,41947782,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
32545485,83037180117050268,720575940622726271,83037180117039258,720575940617540509,32545485,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
