target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,755177787,5813089504,1,KCab-m,LHPD2b1_a,KCab-m_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,755518957,573337611,1,DM3_adPN,LHPD2a1,DM3_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,757215581,571666400,1,LHPV4c1_b,LHPD2b1_b,LHPV4c1_b_R,LHPD2b1_b_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SLP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,759564951,573337611,1,,LHPD2a1,,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,759810119,509928512,1,CSD,LHPD2b1_a,CSD(5HT1)(AVM03)_L,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,759810119,571666434,1,CSD,LHPD2a1,CSD(5HT1)(AVM03)_L,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,759888036,571666434,1,LHPV4a7_c,LHPD2a1,LHPV4a7_c_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,759888294,542634516,1,LHPV4j1_a,LHPD2a1,LHPV4j1_a_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,760250511,542634516,1,M_vPNml78,LHPD2a1,M_vPNml78_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,760250511,573329304,1,M_vPNml78,LHPD2a1,M_vPNml78_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
