target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,724816115,548872750,18,DP1l_adPN,LHPD2b1_a,DP1l_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 16, 'post': 16}, 'CA(R)': {'pre': 16, 'post': 16}, 'MB(+ACA)(R)': {'pre': 16, 'post': 16}, 'LH(R)': {'pre': 2, 'post': 2}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,724816115,571666400,17,DP1l_adPN,LHPD2b1_b,DP1l_adPN_R,LHPD2b1_b_R,"{'SNP(R)': {'pre': 2, 'post': 2}, 'SLP(R)': {'pre': 2, 'post': 2}, 'LH(R)': {'pre': 6, 'post': 6}, 'MB(R)': {'pre': 9, 'post': 9}, 'CA(R)': {'pre': 9, 'post': 9}, 'MB(+ACA)(R)': {'pre': 9, 'post': 9}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,1977579449,542634516,16,VA2_adPN,LHPD2a1,VA2_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 16, 'post': 16}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,542634818,5813089504,15,DM1_lPN,LHPD2b1_a,DM1_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 15, 'post': 15}, 'CA(R)': {'pre': 15, 'post': 15}, 'MB(+ACA)(R)': {'pre': 15, 'post': 15}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,724816115,571666434,15,DP1l_adPN,LHPD2a1,DP1l_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 15, 'post': 15}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,542634818,548872750,14,DM1_lPN,LHPD2b1_a,DM1_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 9, 'post': 9}, 'CA(R)': {'pre': 9, 'post': 9}, 'MB(+ACA)(R)': {'pre': 9, 'post': 9}, 'LH(R)': {'pre': 5, 'post': 5}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,724816115,509928512,14,DP1l_adPN,LHPD2b1_a,DP1l_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 12, 'post': 12}, 'CA(R)': {'pre': 12, 'post': 12}, 'MB(+ACA)(R)': {'pre': 12, 'post': 12}, 'LH(R)': {'pre': 2, 'post': 2}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,542634818,571666400,13,DM1_lPN,LHPD2b1_b,DM1_lPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 13, 'post': 13}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,573333835,571666400,13,DM4_adPN,LHPD2b1_b,DM4_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 5, 'post': 5}, 'MB(R)': {'pre': 8, 'post': 8}, 'CA(R)': {'pre': 8, 'post': 8}, 'MB(+ACA)(R)': {'pre': 8, 'post': 8}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,1977579449,571666434,11,VA2_adPN,LHPD2a1,VA2_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 11, 'post': 11}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,5901222910,548872750,11,DM2_lPN,LHPD2b1_a,DM2_lPN_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 6, 'post': 6}, 'MB(R)': {'pre': 5, 'post': 5}, 'CA(R)': {'pre': 5, 'post': 5}, 'MB(+ACA)(R)': {'pre': 5, 'post': 5}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,573333835,509928512,10,DM4_adPN,LHPD2b1_a,DM4_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 8, 'post': 8}, 'CA(R)': {'pre': 8, 'post': 8}, 'MB(+ACA)(R)': {'pre': 8, 'post': 8}, 'LH(R)': {'pre': 2, 'post': 2}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,635062078,640963556,10,DP1m_adPN,LHPD2a1,DP1m_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 10, 'post': 10}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1977579449,548872750,10,VA2_adPN,LHPD2b1_a,VA2_adPN_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 2, 'post': 2}, 'MB(R)': {'pre': 8, 'post': 8}, 'CA(R)': {'pre': 8, 'post': 8}, 'MB(+ACA)(R)': {'pre': 8, 'post': 8}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,573333835,573337611,9,DM4_adPN,LHPD2a1,DM4_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 9, 'post': 9}}",LHPD2a1,LHPD2a1_R
