glomerulus,pre_pt_root_id,pre_hemibrain_type,pre_cell_type,pre_side,target_group,weight,n_target_roots
VC4,720575940609447179,VC4_adPN,,right,PD2a1_b1,3,2
VC4,720575940609447179,VC4_adPN,,right,PV5a1,19,3
VC4,720575940609454603,VC4_adPN,,left,PV5a1,16,4
VC4,720575940624001321,VC4_adPN,,left,PD2a1_b1,1,1
VC4,720575940624001321,VC4_adPN,,left,PV5a1,19,4
VC4,720575940626986885,VC4_adPN,,right,PD2a1_b1,3,1
VC4,720575940626986885,VC4_adPN,,right,PV5a1,16,4
VC4,720575940635933119,VC4_adPN,,left,PD2a1_b1,1,1
VC4,720575940635933119,VC4_adPN,,left,PV5a1,22,5
VL2a,720575940603464672,VL2a_adPN,,right,PD2a1_b1,3,1
VL2a,720575940618295454,VL2a_adPN,,left,PD2a1_b1,2,1
VL2a,720575940618295454,VL2a_adPN,,left,PV5a1,3,2
VM1,720575940606590338,VM1_lPN,,right,PD2a1_b1,3,1
VM1,720575940606590338,VM1_lPN,,right,PV5a1,7,1
VM1,720575940623444715,VM1_lPN,,left,PV5a1,3,1
VM1,720575940628077568,VM1_lPN,,left,PV5a1,6,2
VM1,720575940644004768,VM1_lPN,,right,PD2a1_b1,14,1
VM1,720575940644004768,VM1_lPN,,right,PV5a1,9,2
VM2,720575940607687260,VM2_adPN,,right,PD2a1_b1,6,3
VM2,720575940607687260,VM2_adPN,,right,PV5a1,18,4
VM2,720575940617179451,VM2_adPN,,left,PD2a1_b1,6,2
VM2,720575940617179451,VM2_adPN,,left,PV5a1,10,4
VM2,720575940619280705,VM2_adPN,,right,PD2a1_b1,13,5
VM2,720575940619280705,VM2_adPN,,right,PV5a1,17,5
VM2,720575940640697808,VM2_adPN,,left,PD2a1_b1,6,5
VM2,720575940640697808,VM2_adPN,,left,PV5a1,13,4
VM3,720575940610048981,VM3_adPN,,left,PD2a1_b1,27,6
VM3,720575940610048981,VM3_adPN,,left,PV5a1,83,8
VM3,720575940616566133,VM3_adPN,,right,PD2a1_b1,18,5
VM3,720575940616566133,VM3_adPN,,right,PV5a1,40,7
VM3,720575940617917760,VM3_adPN,,right,PD2a1_b1,72,7
VM3,720575940617917760,VM3_adPN,,right,PV5a1,92,7
VM3,720575940627480586,VM3_adPN,,left,PD2a1_b1,41,6
VM3,720575940627480586,VM3_adPN,,left,PV5a1,83,8
VM5d,720575940606649865,VM5d_adPN,,right,PD2a1_b1,8,3
VM5d,720575940606649865,VM5d_adPN,,right,PV5a1,5,2
VM5d,720575940611372714,VM5d_adPN,,left,PV5a1,4,1
VM5d,720575940629279544,VM5d_adPN,,right,PD2a1_b1,2,1
VM5d,720575940629279544,VM5d_adPN,,right,PV5a1,2,1
VM5d,720575940634325087,VM5d_adPN,,right,PD2a1_b1,4,2
VM5d,720575940634325087,VM5d_adPN,,right,PV5a1,3,1
VM5d,720575940635082871,VM5d_adPN,,left,PV5a1,2,1
VM5d,720575940639121571,VM5d_adPN,,right,PD2a1_b1,1,1
VM5d,720575940639121571,VM5d_adPN,,right,PV5a1,2,1
VM5d,720575940644961588,VM5d_adPN,,left,PD2a1_b1,4,1
VM5v,720575940620189790,VM5v_adPN,,left,PD2a1_b1,3,1
VM5v,720575940620189790,VM5v_adPN,,left,PV5a1,3,1
VM5v,720575940624661552,VM5v_adPN,,right,PD2a1_b1,1,1
VM5v,720575940624661552,VM5v_adPN,,right,PV5a1,1,1
VM5v,720575940625431866,VM5v_adPN,,left,PV5a1,2,1
VM7d,720575940610100437,VM7d_adPN,,right,PD2a1_b1,14,3
VM7d,720575940617903168,VM7d_adPN,,right,PD2a1_b1,7,1
VM7d,720575940617903168,VM7d_adPN,,right,PV5a1,2,1
VM7d,720575940628524292,VM7d_adPN,,left,PD2a1_b1,1,1
VM7d,720575940628524292,VM7d_adPN,,left,PV5a1,4,1
VM7d,720575940631462200,VM7d_adPN,,right,PD2a1_b1,3,1
VM7v,720575940605309361,VM7v_adPN,,right,PD2a1_b1,12,1
VM7v,720575940605309361,VM7v_adPN,,right,PV5a1,1,1
