source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,root_id,glomerulus,cell_sub_class,n_synapses
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940628035543,VA7m,uniglomerular,5
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940628834832,mPN,multiglomerular,1
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940629009513,VA3,uniglomerular,28
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940629279544,VM5d,uniglomerular,19
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940629947439,VL2p,uniglomerular,21
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630097103,VC2,uniglomerular,39
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630217086,DL2d,uniglomerular,17
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630493818,DC2,uniglomerular,12
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630547909,VA1d,uniglomerular,12
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630549370,DM3,uniglomerular,26
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630914858,DC4,uniglomerular,68
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630983954,VL1,uniglomerular,1
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940630989354,VA1v,uniglomerular,10
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631161570,DL2v,uniglomerular,41
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631193052,DC2,uniglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631462200,VM7d,uniglomerular,17
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631469964,mPN,multiglomerular,15
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631633401,mPN,multiglomerular,15
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631683927,mPN,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631742156,VA1v,uniglomerular,7
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940631801671,mPN,multiglomerular,1
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940632167085,DL1,uniglomerular,60
