source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,orn_synapses_in_hemisphere,pn_synapses_in_hemisphere,all_output_synapses_in_hemisphere
720575940613970147,7205759406139701472,v2LN46b_R,v2LN46b,R,AL_R,2,53,201
720575940626815826,7205759406268158262,v2LN42b_R,v2LN42b,R,AL_R,39,169,992
720575940622961802,7205759406229618021,CB1132_L,CB1132,L,AL_L,29,454,1849
720575940629912428,7205759406299124281,CB3202_L,CB3202,L,AL_L,50,493,1482
720575940630080763,7205759406300807631,lLN13_L,lLN13,L,AL_L,4,431,1864
720575940634385247,7205759406343852472,CB3007_R,CB3007,R,AL_R,18,277,1326
720575940628573519,7205759406285735192,vLN25_R,vLN25,R,AL_R,978,515,3611
720575940640020944,7205759406400209442,CB1546_R,CB1546,R,AL_R,29,548,1850
720575940624361230,7205759406243612301,v2LN42a_L,v2LN42a,L,AL_L,1,84,604
720575940624361230,7205759406243612302,v2LN42a_R,v2LN42a,R,AL_R,25,109,837
720575940629409580,7205759406294095801,CB3202_L,CB3202,L,AL_L,39,464,1472
720575940617544193,7205759406175441932,CB1686_R,CB1686,R,AL_R,73,456,1415
720575940624069012,7205759406240690122,CB2571_R,CB2571,R,AL_R,8,179,1550
720575940622626303,7205759406226263032,lLN9_R,lLN9,R,AL_R,22,98,355
720575940621416572,7205759406214165721,lLN9_L,lLN9,L,AL_L,2,43,236
720575940621416572,7205759406214165722,lLN9_R,lLN9,R,AL_R,40,68,365
720575940625642517,7205759406256425172,v2LN42c_R,v2LN42c,R,AL_R,61,253,1438
720575940606745266,7205759406067452661,CB1473_L,CB1473,L,AL_L,49,432,1448
720575940612305506,7205759406123055061,CB1686_L,CB1686,L,AL_L,59,371,1232
720575940643869988,7205759406438699881,CB2345_L,CB2345,L,AL_L,2,90,803
720575940638731427,7205759406387314272,lLN13_R,lLN13,R,AL_R,25,316,1638
720575940617327590,7205759406173275902,CB3172_R,CB3172,R,AL_R,8,93,842
720575940607685700,7205759406076857001,CB2661_L,CB2661,L,AL_L,74,78,293
720575940607685700,7205759406076857002,CB2661_R,CB2661,R,AL_R,11,71,380
720575940605101758,7205759406051017581,CB1668_L,CB1668,L,AL_L,59,125,555
720575940605101758,7205759406051017582,CB1668_R,CB1668,R,AL_R,18,83,391
720575940623118519,7205759406231185191,v2LN47_L,v2LN47,L,AL_L,72,63,368
720575940633277364,7205759406332773641,CB2527_L,CB2527,L,AL_L,33,72,1047
720575940633277364,7205759406332773642,CB2527_R,CB2527,R,AL_R,5,47,477
720575940635180956,7205759406351809562,v2LN34E_R,v2LN34E,R,AL_R,4,80,720
720575940627014641,7205759406270146411,lLN9_L,lLN9,L,AL_L,40,116,596
720575940614871336,7205759406148713361,CB2504_L,CB2504,L,AL_L,57,85,452
720575940614871336,7205759406148713362,CB2504_R,CB2504,R,AL_R,2,63,196
720575940604008160,7205759406040081602,CB1686_R,CB1686,R,AL_R,49,435,1377
720575940635689829,7205759406356898292,CB2504_R,CB2504,R,AL_R,38,123,751
720575940641592795,7205759406415927951,lLN2X06_L,lLN2X06,L,AL_L,550,746,6185
720575940644743790,7205759406447437901,CB3417_L,CB3417,L,AL_L,2,25,293
720575940621343838,7205759406213438382,CB1132_R,CB1132,R,AL_R,22,403,1731
720575940628933275,7205759406289332752,CB2345_R,CB2345,R,AL_R,1,84,854
720575940634364311,7205759406343643112,CB3202_R,CB3202,R,AL_R,66,362,1251
720575940620311718,7205759406203117181,v2LN46b_L,v2LN46b,L,AL_L,177,111,639
720575940623183763,7205759406231837631,CB3007_L,CB3007,L,AL_L,15,144,1077
720575940627173636,7205759406271736361,lLN9_L,lLN9,L,AL_L,49,282,1424
720575940621470028,7205759406214700281,v2LN42a_L,v2LN42a,L,AL_L,35,136,938
720575940638664014,7205759406386640142,CB3326_R,CB3326,R,AL_R,38,144,1071
720575940614858399,7205759406148583992,CB1686_R,CB1686,R,AL_R,39,444,1637
720575940612042981,7205759406120429811,lLN9_L,lLN9,L,AL_L,1,30,120
720575940612042981,7205759406120429812,lLN9_R,lLN9,R,AL_R,42,221,1000
