source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,analysis_neuropil,neuropil,n_synapses
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,VES_R,2
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,,96
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,AL_L,4742
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,AL_R,928
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,NO,3
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,SAD,4
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,VES_R,2
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,,96
720575940631619921,7205759406316199211,lLN2X12_L,lLN2X12,L,AL_L,AL_L,8641
720575940631619921,7205759406316199211,lLN2X12_L,lLN2X12,L,AL_L,CRE_L,7
720575940631619921,7205759406316199211,lLN2X12_L,lLN2X12,L,AL_L,LAL_L,1
720575940616953467,7205759406169534672,CB1013_R,CB1013,R,AL_R,AL_L,469
720575940616953467,7205759406169534672,CB1013_R,CB1013,R,AL_R,AL_R,645
720575940616953467,7205759406169534672,CB1013_R,CB1013,R,AL_R,VES_R,2
720575940616953467,7205759406169534672,CB1013_R,CB1013,R,AL_R,,93
720575940624084429,7205759406240844291,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,AL_L,473
720575940624084429,7205759406240844291,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,AL_R,1714
720575940624084429,7205759406240844292,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,AL_L,473
720575940624084429,7205759406240844292,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,AL_R,1714
720575940626310686,7205759406263106861,CB1686_L,CB1686,L,AL_L,AL_L,1612
720575940634303132,7205759406343031322,lLN2P_a_R,lLN2P_a,R,AL_R,AL_R,6616
720575940632505359,7205759406325053592,lLN2P_a_R,lLN2P_a,R,AL_R,AL_R,8085
720575940641609869,7205759406416098691,CB1546_L,CB1546,L,AL_L,AL_L,1554
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,AL_L,1724
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,AL_R,1472
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,AMMC_L,1
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,VES_R,1
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,,131
720575940660217985,7205759406602179852,lLN2P_b_R,lLN2P_b,R,AL_R,AL_R,8516
720575940660217985,7205759406602179852,lLN2P_b_R,lLN2P_b,R,AL_R,CRE_R,2
720575940609890315,7205759406098903151,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,AL_L,237
720575940609890315,7205759406098903151,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,AL_R,3205
720575940609890315,7205759406098903152,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,AL_L,237
720575940609890315,7205759406098903152,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,AL_R,3205
720575940635664046,7205759406356640461,v2LN40_2_L,v2LN40_2,L,AL_L,AL_L,1976
720575940635664046,7205759406356640461,v2LN40_2_L,v2LN40_2,L,AL_L,,54
720575940624356792,7205759406243567922,CB1824_R,CB1824,R,AL_R,AL_R,533
720575940624356792,7205759406243567922,CB1824_R,CB1824,R,AL_R,AVLP_R,2
720575940624356792,7205759406243567922,CB1824_R,CB1824,R,AL_R,,57
720575940622592099,7205759406225920991,CB1668_L,CB1668,L,AL_L,AL_L,395
720575940622592099,7205759406225920991,CB1668_L,CB1668,L,AL_L,AL_R,297
720575940622592099,7205759406225920991,CB1668_L,CB1668,L,AL_L,NO,2
720575940622592099,7205759406225920991,CB1668_L,CB1668,L,AL_L,VES_R,1
720575940622592099,7205759406225920991,CB1668_L,CB1668,L,AL_L,,19
720575940622592099,7205759406225920992,CB1668_R,CB1668,R,AL_R,AL_L,395
720575940622592099,7205759406225920992,CB1668_R,CB1668,R,AL_R,AL_R,297
720575940622592099,7205759406225920992,CB1668_R,CB1668,R,AL_R,NO,2
720575940622592099,7205759406225920992,CB1668_R,CB1668,R,AL_R,VES_R,1
720575940622592099,7205759406225920992,CB1668_R,CB1668,R,AL_R,,19
720575940644362788,7205759406443627881,lLN2P_a_L,lLN2P_a,L,AL_L,AL_L,7157
720575940623280311,7205759406232803111,CB1048_L,CB1048,L,AL_L,AL_L,1625
720575940623280311,7205759406232803111,CB1048_L,CB1048,L,AL_L,LAL_L,2
720575940625630212,7205759406256302121,CB2345_L,CB2345,L,AL_L,AL_L,958
720575940625630212,7205759406256302121,CB2345_L,CB2345,L,AL_L,AL_R,610
720575940625630212,7205759406256302121,CB2345_L,CB2345,L,AL_L,,70
720575940631423116,7205759406314231161,lLN1_a_L,lLN1_a,L,AL_L,AL_L,10490
720575940621089780,7205759406210897801,CB1546_L,CB1546,L,AL_L,AL_L,1951
720575940632835688,7205759406328356881,lLN2T_d_L,lLN2T_d,L,AL_L,AL_L,51
720575940632835688,7205759406328356881,lLN2T_d_L,lLN2T_d,L,AL_L,AL_R,10627
720575940632835688,7205759406328356881,lLN2T_d_L,lLN2T_d,L,AL_L,AVLP_R,39
720575940632835688,7205759406328356881,lLN2T_d_L,lLN2T_d,L,AL_L,LAL_R,33
720575940632835688,7205759406328356881,lLN2T_d_L,lLN2T_d,L,AL_L,,33
720575940632835688,7205759406328356882,lLN2T_d_R,lLN2T_d,R,AL_R,AL_L,51
720575940632835688,7205759406328356882,lLN2T_d_R,lLN2T_d,R,AL_R,AL_R,10627
720575940632835688,7205759406328356882,lLN2T_d_R,lLN2T_d,R,AL_R,AVLP_R,39
720575940632835688,7205759406328356882,lLN2T_d_R,lLN2T_d,R,AL_R,LAL_R,33
720575940632835688,7205759406328356882,lLN2T_d_R,lLN2T_d,R,AL_R,,33
720575940622054497,7205759406220544971,lLN2P_a_L,lLN2P_a,L,AL_L,AL_L,6266
720575940622054497,7205759406220544971,lLN2P_a_L,lLN2P_a,L,AL_L,LAL_L,4
720575940616486230,7205759406164862302,lLN2P_c_R,lLN2P_c,R,AL_R,AL_R,7449
720575940616486230,7205759406164862302,lLN2P_c_R,lLN2P_c,R,AL_R,AVLP_R,4
720575940616486230,7205759406164862302,lLN2P_c_R,lLN2P_c,R,AL_R,FB,2
720575940616486230,7205759406164862302,lLN2P_c_R,lLN2P_c,R,AL_R,ICL_R,7
720575940616486230,7205759406164862302,lLN2P_c_R,lLN2P_c,R,AL_R,LAL_R,15
720575940628914692,7205759406289146921,LN60b_L,LN60b,L,AL_L,AL_L,7726
720575940628914692,7205759406289146921,LN60b_L,LN60b,L,AL_L,AL_R,601
720575940628914692,7205759406289146921,LN60b_L,LN60b,L,AL_L,LAL_L,18
720575940628914692,7205759406289146921,LN60b_L,LN60b,L,AL_L,LAL_R,7
720575940628914692,7205759406289146921,LN60b_L,LN60b,L,AL_L,,1
720575940628914692,7205759406289146922,LN60b_R,LN60b,R,AL_R,AL_L,7726
720575940628914692,7205759406289146922,LN60b_R,LN60b,R,AL_R,AL_R,601
720575940628914692,7205759406289146922,LN60b_R,LN60b,R,AL_R,LAL_L,18
720575940628914692,7205759406289146922,LN60b_R,LN60b,R,AL_R,LAL_R,7
720575940628914692,7205759406289146922,LN60b_R,LN60b,R,AL_R,,1
720575940620400116,7205759406204001161,CB2471_L,CB2471,L,AL_L,AL_L,1145
720575940626681146,7205759406266811461,v2LN42b_L,v2LN42b,L,AL_L,AL_L,869
720575940626681146,7205759406266811461,v2LN42b_L,v2LN42b,L,AL_L,AL_R,676
720575940626681146,7205759406266811461,v2LN42b_L,v2LN42b,L,AL_L,NO,2
720575940626681146,7205759406266811461,v2LN42b_L,v2LN42b,L,AL_L,,97
720575940615073587,7205759406150735871,lLN2X02_L,lLN2X02,L,AL_L,AL_L,6213
720575940615073587,7205759406150735871,lLN2X02_L,lLN2X02,L,AL_L,CRE_L,16
720575940648633988,7205759406486339882,lLN1_bc_R,lLN1_bc,R,AL_R,AL_R,9341
720575940640364085,7205759406403640851,CB2504_L,CB2504,L,AL_L,AL_L,848
720575940640364085,7205759406403640851,CB2504_L,CB2504,L,AL_L,CRE_L,2
720575940624977466,7205759406249774661,CB2527_L,CB2527,L,AL_L,AL_L,1066
720575940624977466,7205759406249774661,CB2527_L,CB2527,L,AL_L,AL_R,465
720575940624977466,7205759406249774661,CB2527_L,CB2527,L,AL_L,VES_L,1
720575940624977466,7205759406249774661,CB2527_L,CB2527,L,AL_L,,52
720575940624977466,7205759406249774662,CB2527_R,CB2527,R,AL_R,AL_L,1066
720575940624977466,7205759406249774662,CB2527_R,CB2527,R,AL_R,AL_R,465
720575940624977466,7205759406249774662,CB2527_R,CB2527,R,AL_R,VES_L,1
720575940624977466,7205759406249774662,CB2527_R,CB2527,R,AL_R,,52
720575940623792648,7205759406237926482,lLN1_bc_R,lLN1_bc,R,AL_R,AL_R,8287
720575940623792648,7205759406237926482,lLN1_bc_R,lLN1_bc,R,AL_R,,1
720575940631105580,7205759406311055801,lLN2P_a_L,lLN2P_a,L,AL_L,AL_L,6726
720575940631105580,7205759406311055801,lLN2P_a_L,lLN2P_a,L,AL_L,CRE_L,28
720575940631105580,7205759406311055801,lLN2P_a_L,lLN2P_a,L,AL_L,LAL_L,2
720575940626378242,7205759406263782422,lLN2P_a_R,lLN2P_a,R,AL_R,AL_R,7156
720575940634949311,7205759406349493112,lLN2P_c_R,lLN2P_c,R,AL_R,AL_R,7777
720575940625990277,7205759406259902771,CB2569_L,CB2569,L,AL_L,AL_L,764
720575940625990277,7205759406259902771,CB2569_L,CB2569,L,AL_L,AL_R,658
720575940625990277,7205759406259902771,CB2569_L,CB2569,L,AL_L,EB,2
720575940625990277,7205759406259902771,CB2569_L,CB2569,L,AL_L,LAL_L,3
720575940625990277,7205759406259902771,CB2569_L,CB2569,L,AL_L,LAL_R,5
720575940625990277,7205759406259902771,CB2569_L,CB2569,L,AL_L,,42
720575940625990277,7205759406259902772,CB2569_R,CB2569,R,AL_R,AL_L,764
720575940625990277,7205759406259902772,CB2569_R,CB2569,R,AL_R,AL_R,658
720575940625990277,7205759406259902772,CB2569_R,CB2569,R,AL_R,EB,2
720575940625990277,7205759406259902772,CB2569_R,CB2569,R,AL_R,LAL_L,3
720575940625990277,7205759406259902772,CB2569_R,CB2569,R,AL_R,LAL_R,5
720575940625990277,7205759406259902772,CB2569_R,CB2569,R,AL_R,,42
720575940616959778,7205759406169597781,CB2571_L,CB2571,L,AL_L,AL_L,566
720575940616959778,7205759406169597781,CB2571_L,CB2571,L,AL_L,AL_R,1572
720575940616959778,7205759406169597782,CB2571_R,CB2571,R,AL_R,AL_L,566
720575940616959778,7205759406169597782,CB2571_R,CB2571,R,AL_R,AL_R,1572
720575940608345778,7205759406083457782,lLN2P_b_R,lLN2P_b,R,AL_R,AL_R,7358
720575940617629270,7205759406176292701,CB1676_L,CB1676,L,AL_L,AL_L,488
720575940617629270,7205759406176292701,CB1676_L,CB1676,L,AL_L,AL_R,3418
720575940617629270,7205759406176292701,CB1676_L,CB1676,L,AL_L,EB,1
720575940617629270,7205759406176292702,CB1676_R,CB1676,R,AL_R,AL_L,488
720575940617629270,7205759406176292702,CB1676_R,CB1676,R,AL_R,AL_R,3418
720575940617629270,7205759406176292702,CB1676_R,CB1676,R,AL_R,EB,1
720575940620541349,7205759406205413491,v2LN36_L,v2LN36,L,AL_L,AL_L,7258
720575940620541349,7205759406205413491,v2LN36_L,v2LN36,L,AL_L,SAD,1
720575940620541349,7205759406205413491,v2LN36_L,v2LN36,L,AL_L,,292
720575940621551854,7205759406215518541,lLN2T_e_L,lLN2T_e,L,AL_L,AL_L,158
720575940621551854,7205759406215518541,lLN2T_e_L,lLN2T_e,L,AL_L,AL_R,14142
720575940621551854,7205759406215518541,lLN2T_e_L,lLN2T_e,L,AL_L,AVLP_R,51
720575940621551854,7205759406215518541,lLN2T_e_L,lLN2T_e,L,AL_L,EB,3
720575940621551854,7205759406215518542,lLN2T_e_R,lLN2T_e,R,AL_R,AL_L,158
720575940621551854,7205759406215518542,lLN2T_e_R,lLN2T_e,R,AL_R,AL_R,14142
720575940621551854,7205759406215518542,lLN2T_e_R,lLN2T_e,R,AL_R,AVLP_R,51
720575940621551854,7205759406215518542,lLN2T_e_R,lLN2T_e,R,AL_R,EB,3
720575940614113682,7205759406141136821,vLN25_L,vLN25,L,AL_L,AL_L,3573
