bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo
1666915286,1700307582,27,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 27, 'post': 27}, 'AL-DP1m(R)': {'pre': 25, 'post': 25}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}}"
5813055025,1700307582,27,VA3_adPN,M_l2PNl21,VA3_adPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 27, 'post': 27}, 'AL-VA4(R)': {'pre': 7, 'post': 7}, 'AL-VA3(R)': {'pre': 17, 'post': 17}, 'AL-VA5(R)': {'pre': 1, 'post': 1}, 'AL-VC2(R)': {'pre': 2, 'post': 2}}"
1762657390,1693827279,26,ORN_DL2v,M_adPNm8,ORN_DL2v_R,M_adPNm8_R,"{'AL(R)': {'pre': 26, 'post': 26}, 'AL-DL2v(R)': {'pre': 25, 'post': 25}, 'AL-VL2a(R)': {'pre': 1, 'post': 1}}"
2138232546,1700307582,26,,M_l2PNl21,,M_l2PNl21_R,"{'AL(R)': {'pre': 26, 'post': 26}, 'AL-VA2(R)': {'pre': 26, 'post': 26}}"
5813039465,1693827279,26,DL2v_adPN,M_adPNm8,DL2v_adPN_R,M_adPNm8_R,"{'AL(R)': {'pre': 26, 'post': 26}, 'AL-DL2v(R)': {'pre': 24, 'post': 24}, 'AL-VL2a(R)': {'pre': 2, 'post': 2}}"
635062078,1671952694,25,DP1m_adPN,M_lvPNm24,DP1m_adPN_R,M_lvPNm24_R,"{'AL(R)': {'pre': 25, 'post': 25}, 'AL-DP1m(R)': {'pre': 23, 'post': 23}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}}"
1731354634,2383731281,25,ALBN1,M_vPNml51,ALBN1(ADL28)_L,M_vPNml51_R,"{'AL(R)': {'pre': 25, 'post': 25}, 'AL-VA3(R)': {'pre': 2, 'post': 1}, 'AL-VM3(R)': {'pre': 2, 'post': 3}, 'AL-VA2(R)': {'pre': 2, 'post': 2}, 'AL-DP1l(R)': {'pre': 7, 'post': 7}, 'AL-VA4(R)': {'pre': 6, 'post': 5}, 'AL-VC3l(R)': {'pre': 1, 'post': 2}, 'AL-DL2v(R)': {'pre': 1, 'post': 1}, 'AL-VC2(R)': {'pre': 1, 'post': 1}}"
1889253785,1700307582,25,VA3_adPN,M_l2PNl21,VA3_adPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 25, 'post': 25}, 'AL-VA3(R)': {'pre': 17, 'post': 17}, 'AL-VA4(R)': {'pre': 4, 'post': 4}, 'AL-VA5(R)': {'pre': 3, 'post': 3}, 'AL-VC2(R)': {'pre': 1, 'post': 1}}"
1697600363,1700307582,24,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 24, 'post': 24}, 'AL-DP1m(R)': {'pre': 24, 'post': 24}}"
1731354634,1671952694,24,ALBN1,M_lvPNm24,ALBN1(ADL28)_L,M_lvPNm24_R,"{'AL(R)': {'pre': 24, 'post': 24}, 'AL-DC4(R)': {'pre': 2, 'post': 2}, 'AL-DP1m(R)': {'pre': 5, 'post': 5}, 'AL-VP1m(R)': {'pre': 3, 'post': 3}, 'AL-DP1l(R)': {'pre': 3, 'post': 3}, 'AL-DM1(R)': {'pre': 3, 'post': 3}, 'AL-DM4(R)': {'pre': 1, 'post': 1}, 'AL-VP1d(R)': {'pre': 3, 'post': 3}, 'AL-DL2v(R)': {'pre': 1}, 'AL-VL2a(R)': {'post': 1}, 'AL-VM3(R)': {'pre': 1, 'post': 1}}"
1977579449,2383731281,24,VA2_adPN,M_vPNml51,VA2_adPN_R,M_vPNml51_R,"{'AL(R)': {'pre': 24, 'post': 24}, 'AL-VA2(R)': {'pre': 17, 'post': 18}, 'AL-VA7m(R)': {'pre': 1}, 'AL-VM3(R)': {'pre': 5, 'post': 5}, 'AL-VA4(R)': {'pre': 1, 'post': 1}}"
5813050727,1447205602,24,VM7d_adPN,M_vPNml83,VM7d_adPN_R,M_vPNml83_R,"{'AL(R)': {'pre': 24, 'post': 24}, 'AL-VM7d(R)': {'pre': 22, 'post': 22}, 'AL-VM7v(R)': {'pre': 2, 'post': 2}}"
5901196806,1700307582,24,v2LN3A,M_l2PNl21,v2LN3a_R,M_l2PNl21_R,"{'AL(R)': {'pre': 24, 'post': 24}, 'AL-DC4(R)': {'pre': 3, 'post': 3}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}, 'AL-VC2(R)': {'pre': 7, 'post': 7}, 'AL-DC1(R)': {'pre': 1, 'post': 1}, 'AL-DP1m(R)': {'pre': 2, 'post': 2}, 'AL-D(R)': {'pre': 5, 'post': 5}, 'AL-VC1(R)': {'pre': 1, 'post': 1}, 'AL-DL2v(R)': {'pre': 2, 'post': 2}}"
1697280776,1700307582,23,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 23, 'post': 23}, 'AL-DP1m(R)': {'pre': 19, 'post': 20}, 'AL-DP1l(R)': {'pre': 4, 'post': 3}}"
1697285165,1700307582,23,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 23, 'post': 23}, 'AL-DP1m(R)': {'pre': 22, 'post': 22}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}"
