bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,input_glomerulus,mPN_type,mPN_instance
2231289277,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2231289333,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2231289459,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2231289597,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2231289597,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2231298154,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2231298154,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2231298170,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2259608595,1700307582,1,ORN_VA4,M_l2PNl21,ORN_VA4,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA4(R)': {'pre': 1, 'post': 1}}",VA4,M_l2PNl21,M_l2PNl21_R
2261637853,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2261965878,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2261970553,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2261992182,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2262328549,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2262332862,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2290303228,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2292672665,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2321001244,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2321337738,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
5812992944,2383731281,1,ORN_VL1,M_vPNml51,ORN_VL1_R,M_vPNml51_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL1(R)': {'pre': 1, 'post': 1}}",VL1,M_vPNml51,M_vPNml51_R
5812993853,1700307582,1,ORN_D,M_l2PNl21,ORN_D,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-D(R)': {'pre': 1, 'post': 1}}",D,M_l2PNl21,M_l2PNl21_R
5812995235,1671952694,1,ORN_DM2,M_lvPNm24,ORN_DM2_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DM2(R)': {'pre': 1, 'post': 1}}",DM2,M_lvPNm24,M_lvPNm24_R
5812996056,1671952694,1,ORN_DP1l,M_lvPNm24,ORN_DP1l_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}",DP1l,M_lvPNm24,M_lvPNm24_R
5812996809,609924156,1,ORN_DP1l,M_lvPNm39,ORN_DP1l_L,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}",DP1l,M_lvPNm39,M_lvPNm39_R
5812996943,1671952694,1,ORN_DA1,M_lvPNm24,ORN_DA1_L,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DA1(R)': {'pre': 1, 'post': 1}}",DA1,M_lvPNm24,M_lvPNm24_R
