combined_LN_type,glomerulus,broad_LN_group,n_ln_body_ids,orn_input_total,pn_output_weight_total,mean_pn_output_percent,sum_pn_output_percent,contra_orn_preference_weighted,same_glomerulus_convergence_score,type_order,glomerulus_order
lLN2F,DA1,lLN2F,8,1722.0,677.0,0.24149887400915385,1.9319909920732308,0.8571428571428571,0.07390868284725448,4,41
lLN2F,DL3,lLN2F,3,116.0,48.0,0.049078507066072995,0.14723552119821898,0.8103448275862069,0.0033640003730443487,4,42
lLN2F,VA1d,lLN2F,7,459.0,113.0,0.05301636073095805,0.37111452511670634,0.8867102396514162,0.009286723020846325,4,43
lLN2F,VA1v,lLN2F,8,428.0,234.0,0.09240296374606437,0.7392237099685149,0.8457943925233645,0.021132289592279,4,44
lLN2F,VM7d,lLN2F,8,1483.0,307.0,0.10807865941980488,0.864629275358439,0.6183412002697235,0.02032110585315155,4,45
lLN2F,DL2d,lLN2F,8,762.0,180.0,0.0843557157156537,0.6748457257252296,0.7060367454068242,0.01314380888261529,4,46
lLN2F,DL2v,lLN2F,8,1316.0,679.0,0.3000646729652108,2.400517383721686,0.770516717325228,0.07883540003140628,4,47
lLN2X10,DP1m,other lLN,1,52.0,54.0,0.6252894858730894,0.6252894858730894,0.9615384615384616,0.0240936856453479,5,0
lLN2X10,VL2a,other lLN,2,63.0,51.0,0.34722227184440213,0.6944445436888043,0.873015873015873,0.020273590077292913,5,1
lLN2X10,VA6,other lLN,3,107.0,91.0,0.45749631063999235,1.3724889319199771,0.9439252336448598,0.04438767285649845,5,2
lLN2X10,DL1,other lLN,2,69.0,86.0,0.5633300411200346,1.1266600822400692,0.6811594202898551,0.029515184199312077,5,3
lLN2X10,DM1,other lLN,1,25.0,34.0,0.39370078740157477,0.39370078740157477,1.0,0.013997433312950447,5,5
lLN2X10,VC5,other lLN,1,132.0,51.0,0.5905511811023622,0.5905511811023622,0.8636363636363636,0.020152191478090675,5,6
lLN2X10,DL5,other lLN,3,138.0,87.0,0.3951134017280569,1.1853402051841708,0.6666666666666666,0.029296481754005295,5,8
lLN2X10,VA2,other lLN,1,50.0,16.0,0.18527095877721167,0.18527095877721167,0.84,0.004409262082458956,5,15
lLN2X10,VM1,other lLN,1,80.0,56.0,0.6484483557202408,0.6484483557202408,0.8,0.020973679573759594,5,18
lLN2X10,DA4m,other lLN,1,36.0,58.0,0.6716072255673923,0.6716072255673923,0.8888888888888888,0.024342254309766016,5,22
lLN2X10,DA2,other lLN,1,28.0,33.0,0.5091021289725394,0.5091021289725394,0.21428571428571427,0.0038470235370145892,5,30
lLN2X10,DM4,other lLN,1,42.0,29.0,0.44739278000617094,0.44739278000617094,0.47619047619047616,0.00724605310443591,5,37
lLN2X10,VM5v,other lLN,1,30.0,20.0,0.2820078962210942,0.2820078962210942,0.9333333333333333,0.00801340743149613,5,40
lLN2X10,DA1,other lLN,2,93.0,64.0,0.4711167704118116,0.9422335408236232,0.8064516129032258,0.025675087716959626,5,41
lLN2X10,VA1d,other lLN,1,26.0,13.0,0.15053265400648447,0.15053265400648447,0.7692307692307693,0.0030558792607865426,5,43
lLN2X04,DP1m,other lLN,4,444.0,694.0,1.1745187014043244,4.698074805617297,0.7972972972972973,0.1928250163244119,6,0
lLN2X04,VL2a,other lLN,4,186.0,536.0,0.9080309289913118,3.632123715965247,0.5698924731182796,0.10098370203257134,6,1
lLN2X04,VA6,other lLN,4,246.0,183.0,0.3089344531589405,1.235737812635762,0.7154471544715447,0.03424896148032025,6,2
lLN2X04,DL1,other lLN,3,139.0,359.0,0.8175371168114994,2.4526113504344984,0.697841726618705,0.08434766871146279,6,3
lLN2X04,DC1,other lLN,4,246.0,280.0,0.47320302221235194,1.8928120888494078,0.6829268292682927,0.05538306013569752,6,4
