body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,log_pn_output_weight_total
1947192569,v2LN40_R,v2LN40,v2LN40,other v2LN,319.0,318.0,1.0,-0.9937304075235109,-0.9988738738738738,97.0,576.0,0.16840277777777776,16.840277777777775,12.67361111111111,5.613425925925925,-0.9935247747747747,6,3,2,1.0,0.0,166,True,1.9912260756924949
5813018729,vLN25_R,vLN25,vLN25,vLN,675.0,656.0,19.0,-0.9437037037037037,-0.979701583222909,339.0,822.0,0.4124087591240876,41.24087591240876,40.2676399026764,5.89155370177268,-0.9617224880382776,9,7,2,1.0,0.0,189,True,2.531478917042255
1794037618,vLN25,vLN25,vLN25,vLN,787.0,747.0,40.0,-0.8983481575603558,-0.912758287084668,259.0,850.0,0.30470588235294116,30.470588235294116,29.058823529411764,3.8088235294117645,-0.830378655699568,8,8,3,1.0,0.0,188,True,2.4149733479708178
1763037543,vLN24,vLN24,vLN24,vLN,80.0,46.0,34.0,-0.15,0.05702075702075701,207.0,932.0,0.22210300429184548,22.21030042918455,17.811158798283262,1.8508583690987124,-0.1868131868131868,9,12,4,1.0,0.0,187,True,2.3180633349627615
1761345315,vLN24_R,vLN24,vLN24,vLN,604.0,315.0,289.0,-0.04304635761589404,-0.12434535740035277,473.0,1467.0,0.3224267211997274,32.24267211997274,20.7225630538514,1.1515240042847406,0.02453301372541287,18,28,16,1.0,0.0,186,True,2.6757783416740852
2071305421,v2LN47_R,v2LN47,v2LN47,other v2LN,34.0,24.0,10.0,-0.4117647058823529,-0.4117647058823529,6.0,13.0,0.46153846153846156,46.15384615384615,46.15384615384615,46.15384615384615,,1,1,0,0.68,0.0,182,True,0.8450980400142568
5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,97.0,51.0,46.0,-0.05154639175257732,-0.1423015873015873,1223.0,3505.0,0.34893009985734663,34.893009985734665,6.447931526390869,0.7424044677815886,-0.29032390323903234,20,47,20,1.0,0.0,89,True,3.087781417809542
1916152641,v2LN47_R,v2LN47,v2LN47,other v2LN,65.0,33.0,32.0,-0.015384615384615385,0.0541871921182266,22.0,100.0,0.22,22.0,22.0,22.0,,2,1,0,1.0,0.0,181,True,1.3617278360175928
1916157698,v2LN46_R,v2LN46,v2LN46,other v2LN,77.0,46.0,31.0,-0.19480519480519481,-0.5633802816901409,16.0,108.0,0.14814814814814814,14.814814814814813,13.88888888888889,7.407407407407407,-0.1267605633802817,2,2,1,1.0,0.0,180,True,1.2304489213782739
1885782720,v2LN46_R,v2LN46,v2LN46,other v2LN,95.0,68.0,27.0,-0.43157894736842106,-0.5846153846153845,40.0,144.0,0.2777777777777778,27.77777777777778,19.444444444444446,9.25925925925926,0.1384615384615385,4,3,2,1.0,0.0,179,True,1.6127838567197355
1885109710,v2LN46_R,v2LN46,v2LN46,other v2LN,30.0,29.0,1.0,-0.9333333333333333,-0.5,27.0,74.0,0.3648648648648649,36.48648648648649,35.13513513513514,18.243243243243246,,4,2,0,0.6,0.0,178,True,1.4471580313422192
5813034203,v2LN45_R,v2LN45,v2LN45,other v2LN,35.0,35.0,0.0,-1.0,-1.0,15.0,99.0,0.15151515151515152,15.151515151515152,15.151515151515152,15.151515151515152,,1,1,0,0.7,0.0,177,True,1.2041199826559248
