body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank
7205759406387314272,lLN13_R,lLN13,lLN13,other lLN,25.0,9.0,16.0,0.28,0.30952380952380953,273.0,1638.0,0.16666666666666669,16.666666666666668,7.753357753357753,0.6410256410256411,0.5204081632653061,4,26,4,0.5,0.78583793489433,170
7205759406168920611,CB3007_L,CB3007,CB3007,other,11.0,2.0,9.0,0.6363636363636364,0.5428571428571429,172.0,1435.0,0.11986062717770035,11.986062717770036,6.132404181184669,0.9988385598141697,0.9248120300751881,5,12,2,0.22,0.7214608232296891,171
7205759406231837631,CB3007_L,CB3007,CB3007,other,15.0,4.0,11.0,0.4666666666666667,0.4222222222222222,133.0,1077.0,0.12349117920148558,12.349117920148558,6.8709377901578454,1.3721242133498401,0.6,3,9,1,0.3,0.6856975719931275,172
7205759406216813212,CB3007_R,CB3007,CB3007,other,13.0,3.0,10.0,0.5384615384615384,0.8181818181818182,114.0,1031.0,0.11057225994180409,11.057225994180408,7.75945683802134,1.00520236310731,0.6103896103896104,3,11,2,0.26,0.664290497970855,173
7205759406602177292,lLN1_bc_R,lLN1_bc,lLN1,lLN1,50.0,23.0,27.0,0.08,-0.12833333333333333,1565.0,8897.0,0.17590198943464092,17.59019894346409,1.9894346408901877,0.3518039788692818,-0.05192396847473344,20,50,20,1.0,0.5885023901240599,174
7205759406305710521,lLN1_bc_L,lLN1_bc,lLN1,lLN1,114.0,53.0,61.0,0.07017543859649122,0.17155194012336872,1675.0,9428.0,0.17766228256257954,17.766228256257953,1.8773865082732286,0.37012975533870734,-0.14100900580900583,21,48,21,1.0,0.5209940548099669,175
7205759406293247912,CB1824_R,CB1824,CB1824,other,21.0,8.0,13.0,0.23809523809523808,0.47008547008547,77.0,585.0,0.13162393162393163,13.162393162393164,10.598290598290598,2.6324786324786325,0.07692307692307694,3,5,1,0.42,0.4356708826689591,176
7205759406217786462,CB2571_R,CB2571,CB2571,other,10.0,3.0,7.0,0.4,0.16666666666666663,186.0,1644.0,0.11313868613138686,11.313868613138686,10.888077858880779,2.2627737226277373,0.6666666666666666,4,5,1,0.2,0.418488689348367,177
7205759406185524432,CB3417_R,CB3417,CB3417,other,10.0,3.0,7.0,0.4,0.3333333333333333,177.0,1779.0,0.09949409780775717,9.949409780775717,5.789769533445756,0.6218381112984823,-0.14285714285714285,7,16,5,0.2,0.4145426840233668,178
7205759406266811461,v2LN42b_L,v2LN42b,v2LN42,other v2LN,4.0,0.0,4.0,1.0,1.0,154.0,869.0,0.17721518987341772,17.72151898734177,16.11047180667434,5.907172995780591,1.0,2,3,1,0.08,0.4034740093535398,179
7205759406181586721,CB1824_L,CB1824,CB1824,other,24.0,10.0,14.0,0.16666666666666666,0.06666666666666667,66.0,566.0,0.1166077738515901,11.66077738515901,9.363957597173144,2.9151943462897525,0.3333333333333333,5,4,1,0.48,0.3363754095512772,180
7205759406226252792,v2LN41a_R,v2LN41a,v2LN41,other v2LN,3.0,0.0,3.0,1.0,1.0,215.0,1472.0,0.14605978260869565,14.605978260869565,7.404891304347825,1.4605978260869563,1.0,2,10,2,0.06,0.3225167044610499,181
7205759406453729641,CB3417_L,CB3417,CB3417,other,4.0,0.0,4.0,1.0,1.0,48.0,441.0,0.108843537414966,10.8843537414966,3.8548752834467117,1.3605442176870748,1.0,2,8,1,0.08,0.3113456238488501,182
7205759406415930511,lLN1_bc_L,lLN1_bc,lLN1,lLN1,46.0,22.0,24.0,0.043478260869565216,-0.07142857142857141,1773.0,9308.0,0.1904813064030941,19.04813064030941,1.4503652771809197,0.3968360550064461,0.047166293810589136,21,48,21,0.92,0.299239686514781,183
7205759406212982701,lLN1_bc_L,lLN1_bc,lLN1,lLN1,79.0,38.0,41.0,0.0379746835443038,-0.09355775803144223,2118.0,11251.0,0.18824993333925874,18.824993333925875,2.1686961159008087,0.3921873611234557,-0.018433529711725214,22,48,21,1.0,0.29083669208613794,184
7205759406324162982,lLN2T_e_R,lLN2T_e,lLN2T,lLN2T,8.0,1.0,7.0,0.75,0.75,10.0,113.0,0.08849557522123894,8.849557522123893,8.849557522123893,8.849557522123893,0.75,1,1,1,0.16,0.2877474327358045,185
7205759406239016951,CB1266_L,CB1266,CB1266,other,1199.0,573.0,626.0,0.04420350291909925,-0.07786769959832725,539.0,6168.0,0.08738651102464332,8.738651102464331,6.7282749675745785,0.26480760916558577,-0.04112400109467616,31,33,24,1.0,0.27810939482618097,186
