combined_LN_type,broad_LN_group,n_ln_body_ids,source_LN_types,source_LN_instances,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,sum_body_convergence_score,type_score_rank
LN60a,other,4,LN60a,LN60a_L;LN60a_R,1622.0,6415.0,1603.75,1549.5,-0.5866697436903012,-0.5894013153375919,38.799947531826106,38.851398219441265,5.007885923243563,-0.5761572586376154,0.0,0.0,48
CB3679,other,2,CB3679,CB3679_L;CB3679_R,269.0,858.0,429.0,429.0,-0.49456975772765244,-0.49456975772765244,23.108054904014544,23.108054904014544,5.213751879564269,-0.3311361571465029,0.0,0.0,51
LN60b,other,4,LN60b,LN60b_L;LN60b_R,1460.0,6233.0,1558.25,1485.5,-0.5639781168201494,-0.6073717948717949,39.56787587207069,38.4945256469332,5.735017410119685,-0.5613659426126969,0.0,0.0,50
CB2471,other,5,CB2471,CB2471_L;CB2471_R,394.0,680.0,136.0,149.0,-0.2883294255267843,-0.3191489361702128,13.465381111744644,13.746223564954684,3.8316879985344614,-0.20170909855785907,0.0,0.0,43
lLN10,other lLN,2,lLN10,lLN10_L;lLN10_R,342.0,1271.0,635.5,635.5,-0.3600425517312378,-0.3600425517312378,9.720694477106582,9.720694477106582,4.325713713349219,-0.30562302991623164,0.0,0.0,52
CB2661,other,2,CB2661,CB2661_L,85.0,89.0,44.5,44.5,-0.935483870967742,-0.935483870967742,10.214877139189525,10.214877139189525,7.846483303218898,-0.8333333333333333,0.0,0.0,53
CB3202,other,4,CB3202,CB3202_L;CB3202_R,214.0,1656.0,414.0,428.0,-0.2638904033819288,-0.24181818181818182,29.242437152576876,29.45093546432359,4.632160749695766,-0.43977011890768736,0.0,0.0,54
CB2908,other,4,CB2908,CB2908_L;CB2908_R,233.0,1200.0,300.0,302.5,-0.4422655535832612,-0.4262332348260968,23.446564526394237,23.755400473496685,4.129284993650518,-0.012531234176735781,0.0,0.0,55
CB1013,other,1,CB1013,CB1013_L,25.0,45.0,45.0,45.0,-1.0,-1.0,6.828528072837633,6.828528072837633,4.704097116843703,-1.0,0.0,0.0,44
lLN8,other lLN,8,lLN8,lLN8_L;lLN8_R,1421.0,4183.0,522.875,505.0,-0.7210043791827753,-0.7097198721564204,27.621178259949176,26.747282157826017,8.318882936590217,-0.6662367925331232,0.0,0.0,41
CB2504,other,3,CB2504,CB2504_L;CB2504_R,136.0,268.0,89.33333333333333,86.0,-0.6116959064327485,-0.6666666666666666,13.836866145412174,13.448735019973368,6.329427407859817,-0.2847351061636776,0.0,0.0,42
lLN9,other lLN,6,lLN9,lLN9_L;lLN9_R,214.0,968.0,161.33333333333334,162.5,-0.7341147435132397,-0.7735042735042735,19.853456135052735,18.437069044773374,7.700029581923785,-0.7445723947485633,0.0,0.0,40
v2LN42,other v2LN,2,v2LN42c,v2LN42c_L;v2LN42c_R,56.0,404.0,202.0,202.0,-1.0,-1.0,14.043276846751676,14.043276846751676,13.591477623639506,-1.0,0.0,0.0,39
v2LN31,v2LN3,2,v2LN31,v2LN31_L;v2LN31_R,3331.0,1715.0,857.5,857.5,-0.7614276543339272,-0.7614276543339272,24.46773872147891,24.46773872147891,23.184509428777208,-0.7886117235750785,0.0,0.0,38
v2LN40_2,other v2LN,4,v2LN40_2,v2LN40_2_L;v2LN40_2_R,711.0,482.0,120.5,121.5,-0.8785011368137654,-0.8921717651529546,6.863593040131798,6.841367547597407,5.643294152628172,-0.9871811420492962,0.0,0.0,37
v2LN33,v2LN3,2,v2LN33,v2LN33_L;v2LN33_R,323.0,465.0,232.5,232.5,-0.8319845857418111,-0.8319845857418111,8.131832903509737,8.131832903509737,7.894754533689641,-0.7222222222222222,0.0,0.0,36
v2LN36,v2LN3,2,v2LN36,v2LN36_L;v2LN36_R,3190.0,5455.0,2727.5,2727.5,-0.5912966806266915,-0.5912966806266915,36.599881761352904,36.599881761352904,10.65127910617533,-0.604729698968049,0.0,0.0,35
v2LN3a,v2LN3,10,v2LN3A1_a;v2LN3A1_b,v2LN3A1_a_L;v2LN3A1_a_R;v2LN3A1_b_L;v2LN3A1_b_R,3163.0,1704.0,170.4,187.0,-0.6363555987478103,-0.6670851459324789,6.669483326938099,6.084070824392187,4.07019474920764,-0.566033074350855,0.0,0.0,34
v2LNX01,other v2LN,1,v2LNX01,v2LNX01_L,37.0,282.0,282.0,282.0,-0.4594594594594595,-0.4594594594594595,12.422907488986784,12.422907488986784,4.669603524229075,-0.5029239766081871,0.0,0.0,33
vLN25,vLN,4,vLN25,vLN25_L;vLN25_R,3042.0,1549.0,387.25,402.0,-0.8778192784610177,-0.8779308786988932,10.90953043718225,11.061094439728032,8.242565299393393,-0.8618636103282012,0.0,0.0,32
lLN2X02,other lLN,6,lLN2X02,lLN2X02_L;lLN2X02_R,8987.0,11083.0,1847.1666666666667,1852.0,-0.7787782908836385,-0.7835974344463309,29.16030582986734,29.148504909667906,5.620517998253077,-0.7726034828199823,0.0,0.0,31
vLN28;vLN29,vLN,4,vLN28_vLN29,vLN28_vLN29_L;vLN28_vLN29_R,2009.0,844.0,211.0,208.5,-0.9155398197886135,-0.9372697758631454,8.910719513377131,8.844216558819719,7.074680398492136,-0.9154005100682778,0.0,0.0,30
CB2845,other,2,CB2845,CB2845_L;CB2845_R,73.0,260.0,130.0,130.0,-0.6700626959247649,-0.6700626959247649,21.329042586209713,21.329042586209713,16.53707303526798,-0.8741258741258742,0.0,0.0,56
