combined_LN_type,broad_LN_group,glomerulus,n_ln_body_ids,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,source_LN_instances,combined_LN_type_mean_preference,type_order
lLN2F,lLN2F,DM3,8,711.0,119.0,592.0,0.6652601969057665,0.6442179471148082,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DM4,8,1157.0,253.0,904.0,0.5626620570440796,0.5691839696100457,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DM5,6,266.0,54.0,212.0,0.5939849624060151,0.598841966891324,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L,0.7253093527181246,3
lLN2F,lLN2F,DM6,8,900.0,170.0,730.0,0.6222222222222222,0.5779683626261917,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DP1l,8,1663.0,247.0,1416.0,0.7029464822609741,0.7109432566140711,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DP1m,8,4525.0,800.0,3725.0,0.6464088397790055,0.6408392551644668,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA1d,7,459.0,26.0,433.0,0.8867102396514162,0.8132280219780219,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA1v,8,428.0,33.0,395.0,0.8457943925233645,0.8159208624367975,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA2,8,1519.0,127.0,1392.0,0.8327847267939433,0.8178241819611538,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA3,8,808.0,24.0,784.0,0.9405940594059405,0.9279351414196472,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA4,8,684.0,95.0,589.0,0.7222222222222222,0.7390185582894342,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA5,2,72.0,6.0,66.0,0.8333333333333334,0.8026755852842808,lLN2F_a_R;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA6,8,1629.0,118.0,1511.0,0.8551258440761204,0.8370929937376269,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA7l,5,156.0,23.0,133.0,0.7051282051282052,0.6861595441595442,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VA7m,8,453.0,61.0,392.0,0.7306843267108167,0.7286967147543159,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VC1,8,1347.0,191.0,1156.0,0.7164068299925761,0.712625314313236,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VC2,8,795.0,84.0,711.0,0.7886792452830189,0.7998025999681041,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VC3l,8,1193.0,151.0,1042.0,0.7468566638725901,0.7369144193409392,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VC3m,8,1066.0,164.0,902.0,0.6923076923076923,0.7046413345066815,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VC4,7,682.0,62.0,620.0,0.8181818181818182,0.7873203210405888,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VC5,8,1378.0,373.0,1005.0,0.45863570391872277,0.4345288147365439,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VL2a,8,1332.0,63.0,1269.0,0.9054054054054054,0.9044786166721837,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VL2p,8,778.0,73.0,705.0,0.8123393316195373,0.7780673726713351,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM1,6,538.0,84.0,454.0,0.6877323420074349,0.6756891760989173,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM2,6,575.0,113.0,462.0,0.6069565217391304,0.6054394899221142,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM3,8,392.0,31.0,361.0,0.8418367346938775,0.8625642711998307,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM4,8,827.0,85.0,742.0,0.7944377267230955,0.801377530343828,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM5d,8,1877.0,239.0,1638.0,0.745338305807139,0.7258976027832962,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM5v,8,950.0,90.0,860.0,0.8105263157894737,0.7873157714626637,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM7d,8,1483.0,283.0,1200.0,0.6183412002697235,0.6400488004182956,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,VM7v,8,919.0,280.0,639.0,0.3906420021762786,0.381351324352466,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2X06,other lLN,DP1l,3,457.0,54.0,403.0,0.7636761487964989,0.755194977783213,lLN2X06_L;lLN2X06_R,0.7094316427076812,4
lLN2X06,other lLN,DP1m,1,33.0,4.0,29.0,0.7575757575757576,0.7575757575757576,lLN2X06_R,0.7094316427076812,4
lLN2X06,other lLN,VC5,3,189.0,42.0,147.0,0.5555555555555556,0.6741021324354657,lLN2X06_L;lLN2X06_R,0.7094316427076812,4
lLN2X06,other lLN,VL2a,2,127.0,5.0,122.0,0.9212598425196851,0.945054945054945,lLN2X06_L;lLN2X06_R,0.7094316427076812,4
lLN2X06,other lLN,VL2p,3,275.0,62.0,213.0,0.5490909090909091,0.5350154191197084,lLN2X06_L;lLN2X06_R,0.7094316427076812,4
lLN2X12,other lLN,D,4,137.0,2.0,135.0,0.9708029197080292,0.9648484848484848,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,DA1,1,29.0,0.0,29.0,1.0,1.0,lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DA2,2,52.0,8.0,44.0,0.6923076923076923,0.6923076923076923,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DC1,4,110.0,5.0,105.0,0.9090909090909091,0.9076601415311093,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DC2,1,25.0,2.0,23.0,0.84,0.84,lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DC4,3,93.0,23.0,70.0,0.5053763440860215,0.48899498968464483,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,DL1,11,389.0,51.0,338.0,0.7377892030848329,0.7337917367667586,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DL2d,6,181.0,10.0,171.0,0.8895027624309392,0.8933266447105352,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DL2v,11,355.0,32.0,323.0,0.819718309859155,0.8114725217212673,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
