body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,glomerulus_breadth_weight,log_pn_output_weight_total,normalized_log_pn_output_weight_total,saturated_orn_glomerulus_breadth,glomerulus_breadth_weighted_preference,body_saturated_breadth_preference_score,body_orn_pn_breadth_score,body_saturated_orn_pn_score,body_bounded_saturated_orn_pn_score,combined_LN_type_mean_contra_orn_preference_weighted,combined_LN_type_breadth_weighted_mean,combined_LN_type_mean_pn_output_weight_total,combined_LN_type_mean_log_pn_output_weight_total,combined_LN_type_mean_body_orn_pn_breadth_score,combined_LN_type_mean_body_saturated_orn_pn_score,combined_LN_type_mean_body_bounded_saturated_orn_pn_score,combined_LN_type_orn_pn_breadth_score,orn_pn_breadth_type_order,saturated_orn_pn_type_order,bounded_saturated_orn_pn_type_order,mean_preference_type_order,breadth_weighted_type_order,body_orn_preference_rank_within_type,body_breadth_weighted_rank,body_orn_pn_breadth_rank,body_saturated_orn_pn_rank,body_bounded_saturated_orn_pn_rank
5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,887.0,176.0,711.0,0.6031567080045096,0.4234163674801383,553.0,2765.0,0.20000000000000004,20.000000000000004,4.990958408679927,0.6896551724137931,0.511510884330151,17,29,16,1.0,3.810240256380831,14,True,0.53125,2.74350976472843,0.8136616969239949,0.68,0.32042700112739575,0.41014656144306655,0.8790946064756578,1.125241096288842,0.33372054717130706,0.3373191349086436,0.13712241277535514,538.6,2.702412613214512,0.3737447712138223,0.4783933071536926,0.14188041723054917,0.3737447712138223,5,5,5,6,5,1,19,23,20,20
5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,645.0,147.0,498.0,0.5441860465116279,0.6819288119288119,350.0,2334.0,0.14995715509854327,14.995715509854326,4.927163667523565,0.8821009123443723,0.5917302832531258,9,17,9,1.0,3.189358084397704,19,True,0.28125,2.545307116465824,0.7548793644557359,0.36,0.15305232558139537,0.19590697674418606,0.3895651734939699,0.4986434220722814,0.1478861340970958,0.3373191349086436,0.13712241277535514,538.6,2.702412613214512,0.3737447712138223,0.4783933071536926,0.14188041723054917,0.3737447712138223,5,5,5,6,5,2,35,37,37,37
5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,390.0,112.0,278.0,0.4256410256410256,0.4039102353585113,315.0,2346.0,0.13427109974424553,13.427109974424553,4.092071611253197,1.0328546134172734,0.5245539135194307,6,13,5,1.0,2.4498800191164807,27,True,0.1875,2.499687082618404,0.7413495149792585,0.24,0.0798076923076923,0.10215384615384615,0.1994942575551226,0.25535264967055693,0.07573170429941964,0.3373191349086436,0.13712241277535514,538.6,2.702412613214512,0.3737447712138223,0.4783933071536926,0.14188041723054917,0.3737447712138223,5,5,5,6,5,3,45,44,44,44
5813076969,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,470.0,163.0,307.0,0.30638297872340425,0.09388505337941715,865.0,2195.0,0.3940774487471526,39.40774487471526,6.195899772209567,0.9611645091393964,0.17675947587953336,22,41,22,1.0,2.0723392060276398,33,True,0.6875,2.937517892017347,0.8712000312490314,0.88,0.21063829787234042,0.26961702127659576,0.6187537687440794,0.7920048239924217,0.234890357361441,0.3373191349086436,0.13712241277535514,538.6,2.702412613214512,0.3737447712138223,0.4783933071536926,0.14188041723054917,0.3737447712138223,5,5,5,6,5,4,28,28,28,28
1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,166.0,99.0,67.0,-0.1927710843373494,-0.4353202353202352,610.0,1192.0,0.511744966442953,51.174496644295296,16.69463087248322,1.5992030201342282,-0.4794195541183493,13,32,12,1.0,0.0,111,True,0.40625,2.786041210242554,0.8262755423618946,0.52,-0.0783132530120482,-0.1002409638554217,-0.2181839501997181,-0.27927545625563915,-0.08282665677651764,0.3373191349086436,0.13712241277535514,538.6,2.702412613214512,0.3737447712138223,0.4783933071536926,0.14188041723054917,0.3737447712138223,5,5,5,6,5,5,83,86,86,86
1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,562.0,174.0,388.0,0.3807829181494662,0.11171445931736748,1016.0,1840.0,0.5521739130434783,55.21739130434783,41.52173913043478,2.760869565217391,0.18836586571463548,13,20,11,1.0,2.6367741152213378,24,True,0.40625,3.0073209529227447,0.8919020085909627,0.52,0.15469306049822062,0.19800711743772242,0.46521168210804464,0.5954709530982972,0.17660294575801128,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,1,34,33,33,33
2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,1003.0,337.0,666.0,0.32801595214356927,0.22851313386464078,1059.0,2071.0,0.5113471752776436,51.13471752776436,35.296957991308545,1.966719904914014,0.2572021639276983,18,26,16,1.0,2.2849670563887448,29,True,0.5625,3.0253058652647704,0.8972359186369109,0.72,0.1845089730807577,0.23617148554336986,0.5581960784551959,0.7144909804226508,0.21190153978734938,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,2,30,30,30,30
1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,1038.0,367.0,671.0,0.2928709055876686,0.2835736050576708,927.0,1768.0,0.5243212669683258,52.43212669683258,34.78506787330316,2.0166202575704837,0.3265680421229318,17,26,16,1.0,2.001196191490371,39,True,0.53125,2.967547976218862,0.8801062613577455,0.68,0.15558766859344894,0.19915221579961465,0.4617138710591004,0.5909937549556485,0.1752751120885098,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,3,33,34,34,34
2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,394.0,143.0,251.0,0.27411167512690354,-0.23597422191739845,1160.0,1911.0,0.6070120355834641,60.70120355834641,14.33804290947148,1.6405730691444975,-0.0628387335492566,15,37,14,1.0,1.9344162284857163,40,True,0.46875,3.064832219738574,0.9089585234068479,0.6,0.12848984771573604,0.16446700507614212,0.39379982518849066,0.504063776241268,0.1494936860831567,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,4,36,35,35,35
5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,566.0,207.0,359.0,0.26855123674911663,0.04210451727562588,1271.0,2154.0,0.5900649953574745,59.006499535747444,12.488393686165274,1.5947702577229037,0.12669892573323704,19,37,18,1.0,1.9196970902346473,42,True,0.59375,3.104487111312395,0.9207192493149936,0.76,0.159452296819788,0.20409893992932865,0.4950176003461903,0.6336225284431235,0.18791782275771746,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,5,32,32,32,32
1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,483.0,187.0,296.0,0.22567287784679088,0.11300967883805807,997.0,1734.0,0.5749711649365629,57.497116493656286,13.206459054209919,1.5130820129909548,0.19104099483109258,16,38,16,1.0,1.558441215565113,45,True,0.5,2.999130541287371,0.8894729214721844,0.64,0.11283643892339544,0.14443064182194618,0.3384112101452623,0.4331663489859358,0.12846714493146913,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,6,40,40,40,40
2041621893,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,1838.0,728.0,1110.0,0.20783460282916214,0.08425772412307243,1098.0,1956.0,0.5613496932515338,56.134969325153385,38.190184049079754,2.44065084022406,0.009719291930423339,19,23,17,1.0,1.4552903017313292,47,True,0.59375,3.0409976924234905,0.9018897525244188,0.76,0.12340179542981501,0.15795429815016324,0.37526457514298306,0.4803386561830184,0.142457362868819,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,7,37,38,38,38
1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,526.0,210.0,316.0,0.20152091254752852,0.05526758597906,1274.0,2096.0,0.6078244274809161,60.78244274809161,11.927480916030534,1.6884011874469889,0.025651389663857518,19,36,18,1.0,1.441015883088988,48,True,0.59375,3.1055101847699738,0.9210226692977739,0.76,0.11965304182509506,0.1531558935361217,0.3715837400265404,0.4756271872339717,0.14106004988332446,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,8,38,39,39,39
1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,549.0,248.0,301.0,0.0965391621129326,-0.014245105629310462,1148.0,2199.0,0.5220554797635288,52.20554797635288,10.413824465666211,1.4109607561176456,0.04242008882419326,16,37,15,1.0,0.6802774239088962,55,True,0.5,3.060320028688285,0.9076203116483099,0.64,0.0482695810564663,0.06178506375227687,0.14772036568349645,0.18908206807487546,0.05607737881805223,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,9,51,49,49,49
1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,1341.0,615.0,726.0,0.08277404921700224,-0.055715604798201035,1739.0,4614.0,0.37689640225400955,37.68964022540096,16.276549631556133,0.9422410056350238,0.11835680035223671,20,40,19,1.0,0.6176301890642445,57,True,0.625,3.2405492482826,0.9610721398632948,0.8,0.0517337807606264,0.06621923937360179,0.16764586435466472,0.21458670637397081,0.06364146608490721,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,10,49,46,46,46
1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,1643.0,756.0,887.0,0.07973219720024345,-0.26200218350135485,1473.0,3857.0,0.38190303344568316,38.19030334456831,15.815400570391496,1.1572819195323734,-0.11967548984301259,21,33,19,1.0,0.5817049875411783,58,True,0.65625,3.1684974835230326,0.9397032488411624,0.84,0.05232425441265977,0.0669750456482045,0.1657892684337314,0.2122102635951762,0.06293666798690292,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,11,48,47,47,47
1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,278.0,129.0,149.0,0.07194244604316546,-0.10255150556441804,1094.0,1802.0,0.607103218645949,60.710321864594896,11.820199778024417,1.9583974795030612,-0.14093814975204297,15,31,13,1.0,0.5034899023201871,60,True,0.46875,3.0394141191761372,0.9014201012360545,0.6,0.03372302158273381,0.043165467625899276,0.10249822793984276,0.1311977317629987,0.03891022019723976,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,12,55,55,55,55
5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,886.0,439.0,447.0,0.009029345372460492,-0.12843763340521624,782.0,2458.0,0.31814483319772174,31.814483319772176,12.205044751830757,1.3832384052074858,0.0382430364801488,16,23,13,1.0,0.06016372637463476,74,True,0.5,2.8937617620579434,0.8582229726610445,0.64,0.004514672686230246,0.005778781038374715,0.013064387187620506,0.016722415600154247,0.004959482641111225,0.17885798933328306,0.0944275299428983,1173.2857142857142,3.061455530814557,0.288091411944127,0.36875700728848265,0.10936482026068568,0.288091411944127,6,6,6,7,6,13,61,61,61,61
